,nombre,fecha_nac,cargo,partido,status,inicio,fin,primer_apellido,segundo_apellido,primer_nombre,segundo_nombre,sexo,legislatura,fecha_inicio_l,fecha_fin_l,legislaturas_agrupadas
28,"DALMAS GARCEN, SUSANA ELIDA",1948-07-16,Senador,Frente Amplio,Titular,2005,2009,DALMAS,GARCEN,SUSANA,ELIDA,0,46,2005-02-15,2010-02-14,1985-2025
29,"DAMBORIARENA MANEIRO, LUIS ALBERTO",1941-11-18,Diputado,Partido Nacional,Suplente,2005,2005,DAMBORIARENA,MANEIRO,LUIS,ALBERTO,1,46,2005-02-15,2010-02-14,1985-2025
30,"DANCHEFF LOPEZ, SERGIO IVAN",1951-01-23,Diputado,Partido Nacional,Suplente,2007,2009,DANCHEFF,LOPEZ,SERGIO,IVAN,1,46,2005-02-15,2010-02-14,1985-2025
31,"DE ARMAS DE ARMAS, ANA MARIA",1958-09-23,Diputado,Partido Colorado,Suplente,2005,2009,DE ARMAS,DE ARMAS,ANA,MARIA,0,46,2005-02-15,2010-02-14,1985-2025
32,"DE LEON CAMEJO, OLDIMAR ENRIQUE",1956-02-04,Diputado,Frente Amplio,Suplente,2005,2010,DE LEON,CAMEJO,OLDIMAR,ENRIQUE,1,46,2005-02-15,2010-02-14,1985-2025
33,"DE LOS SANTOS PIRIZ, OSCAR JOE",1962-02-17,Diputado,Frente Amplio,Titular,2005,2005,DE LOS SANTOS,PIRIZ,OSCAR,JOE,1,46,2005-02-15,2010-02-14,1985-2025
34,"DELGADO CERETTA, ALVARO",1969-03-11,Diputado,Partido Nacional,Titular,2005,2010,DELGADO,CERETTA,ALVARO,,1,46,2005-02-15,2010-02-14,1985-2025
35,"DI GIACOMO RIZZO, INOCENCIO",1944-04-20,Diputado,Partido Colorado,Suplente,2005,2005,DI GIACOMO,RIZZO,INOCENCIO,,1,46,2005-02-15,2010-02-14,1985-2025
36,"DI PAULO, JOSE MARIA",1931-09-02,Diputado,Partido Colorado,Suplente,2005,2009,DI PAULO,,JOSE,MARIA,1,46,2005-02-15,2010-02-14,1985-2025
37,"DIAZ FERNANDEZ CHAVEZ, ELSA",1945-12-23,Diputado,Partido Colorado,Suplente,2006,2006,DIAZ,FERNANDEZ CHAVEZ,ELSA,,0,46,2005-02-15,2010-02-14,1985-2025
38,"DICANCRO INELLA, MIGUEL ISABELINO",1927-02-23,Diputado,Partido Colorado,Suplente,2005,2010,DICANCRO,INELLA,MIGUEL,ISABELINO,1,46,2005-02-15,2010-02-14,1985-2025
39,"DIZ ISI, LUIS ALBERTO",,Diputado,Partido Nacional,Suplente,2006,2006,DIZ,ISI,LUIS,ALBERTO,1,46,2005-02-15,2010-02-14,1985-2025
40,"DOMINGUEZ DIAZ, JUAN JOSE",1942-10-03,Senador,Frente Amplio,Suplente,2007,2009,DOMINGUEZ,DIAZ,JUAN,JOSE,1,46,2005-02-15,2010-02-14,1985-2025
40,"DOMINGUEZ DIAZ, JUAN JOSE",1942-10-03,Diputado,Frente Amplio,Titular,2005,2010,DOMINGUEZ,DIAZ,JUAN,JOSE,1,46,2005-02-15,2010-02-14,1985-2025
41,"DOTI GENTA, COSME DAVID",1950-05-10,Diputado,Partido Nacional,Titular,2005,2010,DOTI,GENTA,COSME,DAVID,1,46,2005-02-15,2010-02-14,1985-2025
42,"DUARTE SUAREZ, EDGARDO",1961-07-26,Diputado,Frente Amplio,Suplente,2007,2009,DUARTE,SUAREZ,EDGARDO,,1,46,2005-02-15,2010-02-14,1985-2025
43,"DUQUE MORALES, HEBER FRANCISCO",1955-01-26,Diputado,Partido Colorado,Suplente,2005,2010,DUQUE,MORALES,HEBER,FRANCISCO,1,46,2005-02-15,2010-02-14,1985-2025
44,"ECHEVARRIA VIERA DE BRITOS, OSCAR",1950-04-02,Diputado,Frente Amplio,Suplente,2005,2009,ECHEVARRIA,VIERA DE BRITOS,OSCAR,,1,46,2005-02-15,2010-02-14,1985-2025
45,"ELOLA IZETA, FRANCISCO GASTON",1956-10-04,Diputado,Partido Nacional,Suplente,2005,2010,ELOLA,IZETA,FRANCISCO,GASTON,1,46,2005-02-15,2010-02-14,1985-2025
46,"ENCISO CHRISTIANSEN, CARLOS FERNANDO",1967-08-23,Diputado,Partido Nacional,Titular,2010,2010,ENCISO,CHRISTIANSEN,CARLOS,FERNANDO,1,46,2005-02-15,2010-02-14,1985-2025
46,"ENCISO CHRISTIANSEN, CARLOS FERNANDO",1967-08-23,Senador,Partido Nacional,Suplente,2010,2010,ENCISO,CHRISTIANSEN,CARLOS,FERNANDO,1,46,2005-02-15,2010-02-14,1985-2025
46,"ENCISO CHRISTIANSEN, CARLOS FERNANDO",1967-08-23,Diputado,Partido Nacional,Titular,2005,2010,ENCISO,CHRISTIANSEN,CARLOS,FERNANDO,1,46,2005-02-15,2010-02-14,1985-2025
47,"ESPINOSA MARMOL, GUSTAVO ADRIAN",1965-01-10,Diputado,Partido Colorado,Titular,2005,2010,ESPINOSA,MARMOL,GUSTAVO,ADRIAN,1,46,2005-02-15,2010-02-14,1985-2025
48,"ETCHEVERRY MEDINA, SANDRA CLAUDIA",1967-10-20,Diputado,Partido Nacional,Titular,2005,2010,ETCHEVERRY,MEDINA,SANDRA,CLAUDIA,0,46,2005-02-15,2010-02-14,1985-2025
49,"FALERO GONZALEZ, WALTER ALFREDO",1965-07-18,Diputado,Partido Colorado,Suplente,2005,2008,FALERO,GONZALEZ,WALTER,ALFREDO,1,46,2005-02-15,2010-02-14,1985-2025
