"primer_apellido","segundo_apellido","primer_nombre","segundo_nombre","fecha_nac","id_politico","agregado","id_fuente","fecha_desde","fecha_hasta","formas_de_escribir"
"ACOSTA","Y LARA","GUZMAN",NA,1969-12-12,4258,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"ACQUISTAPACE",NA,"JOSE","A.",NA,13,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"ALONSO",NA,"JUSTO","M.",NA,35,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"AMARAL",NA,"MARIO","ALBERTO",NA,3809,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"ANDRADE",NA,"HOMERO","E.",1903-07-18,3569,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"ANTUÑA",NA,"JOSE","G.",NA,75,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"APOLO",NA,"JUAN","JACINTO",NA,3814,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"ARIAS",NA,"JOSE","F.",NA,98,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"AROCENA","NOCETTI","ANDRES",NA,1935-05-14,3815,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"ARRIAGA",NA,"NERI",NA,NA,117,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"ARRILLAGA","TERRA","FRANCISCO",NA,NA,4344,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"ARTECONA",NA,"ARTURO","A.",NA,125,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"ASTIAZARAN",NA,"LEONARDO","E.",NA,132,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"AZNARES",NA,"VALENTIN",NA,NA,146,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"BADO",NA,"AUGUSTO","CESAR",1906-06-01,4345,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"BADO",NA,"RAMON","F.",NA,152,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"BARBIERI",NA,"ARMANDO","I.",1895-06-01,168,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"BARGO",NA,"ARSENIO","M.",NA,1520,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"BATLLE","IBAÑEZ","JORGE",NA,1927-10-25,3831,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"BELTRAN","MULLIN","WASHHINGTON",NA,1914-04-06,3804,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"BENAVIDES",NA,"VICTOR",NA,NA,200,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"BERCHESI",NA,"NILO","R.",1915-06-01,2467,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"BERRETA","GANDOLFO","TOMAS",NA,1875-11-22,3837,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"BERTINAT",NA,"RAUL","E.",1969-11-26,2890,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"BESSONART",NA,"EMILIO","L.",1901-06-01,216,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"BIANCHI","ESPINDOLA","RAUL",NA,1917-05-25,3842,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"BIANCHI",NA,"HORACIO","A.",NA,1562,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"BLANCO","H","JUAN","CARLOS",NA,222,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"BLENGIO","ROCA","JUAN",NA,NA,224,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"BOGLIACCINI",NA,"RAUL","F.",NA,1572,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"BONJOUR",NA,"JUAN","C.",1953-04-18,2918,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"BORDABERRY",NA,"JUAN","MARIA",1928-06-17,3864,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"BRAUSE",NA,"LUIS","ALBERTO",1907-06-01,3844,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"BRUGMAN",NA,"DARIO",NA,1955-04-14,2916,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"BUERO",NA,"JUAN","ANTONIO",NA,3847,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"BURGEÑO",NA,"GUILLERMO",NA,NA,2692,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"CALLORDA","FERNANDEZ","JULIO",NA,1922-02-08,3851,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"CAMBIASSO",NA,"FRANCISCO","P.",NA,3502,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"CAMELO",NA,"CARLOS","E.",1985-05-21,2879,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"CAMPAL",NA,"ESTEBAN","F.",1913-06-01,3387,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"CASTRO",NA,"FELICIANO",NA,NA,5288,0,1,2025-10-13 20:44:50.536369,2101-01-01 02:59:59,0
"GHIRARDI",NA,"JULIO",NA,1936-12-07,5289,0,1,2025-10-13 20:44:50.536369,2101-01-01 02:59:59,0
"FERNANDEZ",NA,"JORGE",NA,NA,5290,0,1,2025-10-13 20:44:50.536369,2101-01-01 02:59:59,0
"RODRIGUEZ",NA,"NATALIA",NA,NA,5291,0,1,2025-10-13 20:44:50.536369,2101-01-01 02:59:59,0
"MARIÑO",NA,"FRANCISCO",NA,1903-10-10,5292,0,1,2025-10-13 20:44:50.536369,2101-01-01 02:59:59,0
"BOIX",NA,"JUAN",NA,1935-06-24,5293,0,1,2025-10-13 20:44:50.536369,2101-01-01 02:59:59,0
"BONILLA",NA,"IGNACIO",NA,NA,5294,0,1,2025-10-13 20:44:50.536369,2101-01-01 02:59:59,0
"KUSTER",NA,"LUIS",NA,1899-06-01,5295,0,1,2025-10-13 20:44:50.536369,2101-01-01 02:59:59,0
"RIANI",NA,"ARIEL","E.",1926-08-28,5296,0,1,2025-10-13 20:44:50.536369,2101-01-01 02:59:59,0
"RODRIGUEZ",NA,"ENRIQUE",NA,1910-06-01,5298,0,1,2025-10-13 20:44:50.536369,2101-01-01 02:59:59,0
"BARRAN",NA,"ALBERTO",NA,NA,5299,0,1,2025-10-13 20:44:50.536369,2101-01-01 02:59:59,0
"ANCEL",NA,"MARIO",NA,1943-02-08,5300,0,1,2025-10-13 20:44:50.536369,2101-01-01 02:59:59,0
"MOREIRA",NA,"JULIO","CESAR",NA,1958,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"MOREIRA",NA,"MARIA","ELOISA",NA,1959,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"MORENO",NA,"ANGEL","ALBERTO",NA,1960,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"MORENO",NA,"GRISEL",NA,1960-11-30,1961,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"MUNIZ","DURAND","HORACIO",NA,1949-01-22,1963,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"MUÑOZ",NA,"CLEMENTE",NA,NA,1964,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"MURISSICH",NA,"ERNESTO",NA,NA,1965,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"NAREZ","JURI","CELEM",NA,1923-11-08,1966,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"NAVARRETE","NOBLIA","CARLOS",NA,NA,1967,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"NERIZ","AGUIAR","URBAL",NA,1933-05-26,1968,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"NEY","ROMERO","CARLOS",NA,1956-09-01,1969,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"NIETO",NA,"DARO",NA,NA,1971,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"NUÑEZ","CONNIO","LUIS","A.",1931-03-14,1972,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"NUÑEZ","GUERRA","SILVIO",NA,1950-01-12,1973,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"NUÑEZ",NA,"LUCIO",NA,NA,1974,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"NUÑEZ","MENDARO","BAUDILIO",NA,NA,1975,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"NUÑEZ",NA,"NYDIA","MARIA",1948-07-13,1976,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"ODINI",NA,"JOSE","EUGENIO",NA,1977,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"OLASCOAGA","CASAS","JULIAN",NA,1932-11-14,1978,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"OLASO",NA,"TORIBIO",NA,NA,1979,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"OLAZABAL",NA,"HECTOR",NA,NA,1980,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"OLAZABAL",NA,"WALTER",NA,NA,1981,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"OLIVAR","CABRERA","JULIO",NA,1934-08-24,1982,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"ORDUSGOITY",NA,"DANIEL",NA,1961-10-14,1983,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"ORIHUELA",NA,"JOSE",NA,NA,1985,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"ORLICH",NA,"JUAN",NA,1921-09-26,1986,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"ORTUÑO",NA,"EDGARDO",NA,1970-06-10,1987,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"OSORIO",NA,"CESAR",NA,NA,1988,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"OSORIO",NA,"RUBEN",NA,NA,1989,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"OTTONELLI",NA,"FRANCISCO",NA,1931-05-29,1992,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"OXACELHAY",NA,"JUAN","A.",1921-01-03,1993,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"PAIS",NA,"RONALD",NA,NA,1994,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"PAIVA",NA,"RUDI",NA,NA,1995,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"PALLES",NA,"LORENZO",NA,1932-02-25,1996,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"PANDOLFO",NA,"JORGE",NA,1945-07-31,1998,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"PANTAZOGLIU",NA,"MIGUEL",NA,NA,1999,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"PARADISO",NA,"RAMON",NA,1918-03-31,2000,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"PARDO",NA,"GUSTAVO",NA,1963-02-13,2001,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"PARRALLADA",NA,"ALMA","GITANA",NA,2002,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"PASTORINO",NA,"ENRIQUE",NA,1918-06-27,2004,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"PAYSE","REYES","HECTOR",NA,1903-06-01,2007,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"PAZ","AGUIRRE","EDUARDO",NA,NA,2008,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"PENCO",NA,"WILFREDO",NA,1954-03-07,2010,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"PERCOVICH",NA,"MARGARITA",NA,1941-01-21,2011,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"PERDOMO",NA,"CARLOS",NA,NA,2012,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"PERDOMO","LOMBARDO","BENJAMIN",NA,1927-04-26,2013,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"PEREIRA",NA,"DANIEL",NA,NA,2014,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"PEREIRA",NA,"RUBEN","O.",NA,2015,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"PEREIRA",NA,"TABARE",NA,NA,2016,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"PEREIRO","CARRESE","NOBILE",NA,1931-09-12,2017,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"PEREZ",NA,"ALVARO",NA,NA,2018,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"PEREZ",NA,"ESTELA",NA,NA,2019,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"PEREZ","FONTANA","ATAULFO",NA,NA,2020,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"CAMY","ARGUINARENA","ROGELIO",NA,1909-11-01,3852,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"CANESSA",NA,"JULIO","CESAR",NA,3853,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"CANFIELD",NA,"FEDERICO",NA,1886-11-25,288,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"CAPURRO",NA,"FEDERICO","EDUARDO",1876-07-10,3854,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"CAPURRO",NA,"JUAN","ALBERTO",1838-06-14,3855,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"CARAM","MURILLO","PABLO","ESTEBAN",1957-12-12,3856,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"CARBAJAL","VICTORICA","JUAN","J.",NA,297,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"CARDOZO","SILVA","JOSE",NA,1958-04-24,3860,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"CARRESE",NA,"LUIS","ALBERTO",1915-06-09,1629,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"CASTRO","H","JUAN","PEDRO",NA,3865,0,1,2025-10-14 15:06:24.62456,2101-01-01 02:59:59,1
"BRUNO","YARTO","JOSE","FELIPE",1945-07-23,5301,0,1,2025-10-14 11:35:48.653509,2101-01-01 02:59:59,0
"PEREZ","GARCIA","LUIS",NA,NA,2021,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"PEREZ","MIRAGLIA","HUGO",NA,1927-02-15,2022,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"PEREZ",NA,"OLIVERIO",NA,NA,2023,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"PEREZ","PUIG","GUILLERMO",NA,1950-02-17,2024,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"PEREZ","RIERA","ALDO",NA,NA,2025,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"PETRISSANS",NA,"VICTOR","HUGO",1944-09-14,2028,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"PIFFARETTI",NA,"ALFREDO",NA,1954-01-05,2029,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"PIFFARETTI",NA,"CESAR",NA,NA,2030,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"PIGNATARO",NA,"LEOPOLDO",NA,1913-02-15,2031,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"PINTOS","CURBELO","EDUARDO",NA,1924-12-27,2033,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"PINTOS",NA,"HECTOR","E.",NA,2034,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"PINTOS",NA,"MARTIN",NA,NA,2035,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"PISANI",NA,"ILDO",NA,NA,2036,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"PITA","FAJARDO","OLIVIER",NA,NA,2037,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"PITETTA",NA,"JOSE",NA,NA,2038,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"PLA","RODRIGUEZ","AMERICO",NA,NA,2039,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"PLAVAN",NA,"MARIO",NA,1952-01-30,2042,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"PODESTA","CARNELLI","ALBERTO",NA,1899-06-01,2043,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"POL","SAIZAR","JUAN",NA,1901-11-08,2044,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"POLLA",NA,"HORACIO","A.",NA,2045,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"PORLEY",NA,"JOSE",NA,NA,2047,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"POZZOLO",NA,"LUIS","BERNARDO",1933-01-16,2049,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"PRADO",NA,"EDGARDO",NA,1937-04-25,2050,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"PREGO","GANDOS","GUILLERMO",NA,NA,2051,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"PRIETO",NA,"BALTASAR",NA,1931-01-05,2052,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"PRIETO",NA,"MATEO",NA,NA,2053,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"PUIG","TERRA","DANIEL",NA,NA,2054,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"QUARNETTI",NA,"FERNANDO",NA,1957-09-14,2055,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"QUARTINO",NA,"JORGE",NA,1944-11-23,2056,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"QUEIROS",NA,"SABINO",NA,1933-02-21,2057,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"QUISIQUE",NA,"ARMANDO",NA,1958-10-04,2058,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"RAINUSSO",NA,"ALICIA",NA,1958-07-07,2059,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"RAMOS",NA,"DOMINGO","JUAN",NA,2060,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"RAMOS",NA,"JORGE",NA,NA,2061,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"RAPETTI",NA,"EDUARDO",NA,1966-07-17,2062,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"RAPETTI","HALLER","CARLOS",NA,1954-02-04,2063,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"REBOLEDO",NA,"GONZALO",NA,1967-07-30,2064,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"RECUERO","RIAGNO","RICARDO",NA,1939-02-18,2065,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"REGUEIRA",NA,"OMAR",NA,NA,2066,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"REGULES",NA,"DARDO",NA,1887-12-02,2067,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"REPETTO",NA,"OSCAR",NA,1921-10-05,2069,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"REQUITERENA","VOGT","ALFONSO",NA,1915-06-01,2070,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"REYES","DAGLIO","CESAR",NA,NA,2072,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"RIAGNO","ALONZO","JOSE",NA,NA,2073,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"RIJO",NA,"EDISON",NA,NA,2074,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"RINCON",NA,"RODOLFO",NA,NA,2075,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"RION","PERRET","LUIS",NA,1916-06-01,2076,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"RIOS",NA,"EDUARDO",NA,NA,2077,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"RISSO","DE LEON","ARTURO",NA,NA,2079,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"RISSO",NA,"JOSE","NICANOR",NA,2080,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"RIVEROS",NA,"CARLOS",NA,NA,2081,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"ROBAINA",NA,"GLORIA",NA,1948-06-02,2082,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"ROBAINA",NA,"VENTURA","RAMIRO",NA,2083,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"ROBALLO","DE PREVITALI","ALBA",NA,1908-08-04,2084,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"ROCHA","IMAZ","RICARDO",NA,NA,2085,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"ROCHE",NA,"DELFOS",NA,1912-09-12,2086,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"RODINO","VARELA","EDUARDO",NA,1940-09-04,2087,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"RODO",NA,"JOSE","ENRIQUE",1871-07-15,2088,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"RODRIGUEZ",NA,"ALFREDO",NA,NA,2089,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"RODRIGUEZ","ALZUGARAY","LAURA",NA,1964-11-13,2090,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"RODRIGUEZ",NA,"AMBROSIO",NA,NA,2091,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"RODRIGUEZ",NA,"DARDO",NA,NA,2093,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"RODRIGUEZ",NA,"FAUSTINO",NA,NA,2094,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"RODRIGUEZ",NA,"GREGORIO","L.",NA,2095,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"RODRIGUEZ","IBARBURU","CESAR",NA,NA,2096,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"RODRIGUEZ",NA,"MARIO",NA,NA,2097,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"RODRIGUEZ",NA,"MILTON",NA,NA,2098,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"RODRIGUEZ",NA,"PAULO",NA,NA,2099,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"RODRIGUEZ",NA,"YAMANDU",NA,NA,2100,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"ROMERO",NA,"ABRAHAM","ALVARO",NA,2101,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"RONDAN",NA,"JUAN","CARLOS",NA,2103,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"ROOSEN",NA,"GERMAN",NA,1861-06-01,2105,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"ROSA",NA,"MILTON","LUIS",NA,2106,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"ABADIE",NA,"HORACIO",NA,NA,4215,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"ZIMINOV","","LUIS",NA,1950-03-28,3188,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"PEDREIRA","ALJAS-AISSI","ROBERTO","GUZMAN",1970-07-10,4707,1,2,2025-10-12 15:28:33.440971,2100-12-31 23:59:59,0
"CANOSA",NA,"ISIDORO",NA,NA,9,0,1,2025-10-13 20:44:50.536369,2101-01-01 02:59:59,0
"ARANA",NA,"ENRIQUE",NA,NA,80,0,1,2025-10-13 20:44:50.536369,2101-01-01 02:59:59,0
"AROCHA",NA,"ALVARO",NA,NA,109,0,1,2025-10-13 20:44:50.536369,2101-01-01 02:59:59,0
"ARRAGA",NA,"CARLOS",NA,NA,112,0,1,2025-10-13 20:44:50.536369,2101-01-01 02:59:59,0
"BARRAGUE",NA,"ALBERTO",NA,1890-06-01,171,0,1,2025-10-13 20:44:50.536369,2101-01-01 02:59:59,0
"BONINO",NA,"LUIS",NA,NA,227,0,1,2025-10-13 20:44:50.536369,2101-01-01 02:59:59,0
"BORRAS",NA,"ANTONIO",NA,NA,239,0,1,2025-10-13 20:44:50.536369,2101-01-01 02:59:59,0
"BRITO",NA,"LAUREANO",NA,NA,252,0,1,2025-10-13 20:44:50.536369,2101-01-01 02:59:59,0
"BUSTILLO",NA,"FRANCISCO",NA,NA,265,0,1,2025-10-13 20:44:50.536369,2101-01-01 02:59:59,0
"CABRERA",NA,"PILAR",NA,NA,271,0,1,2025-10-13 20:44:50.536369,2101-01-01 02:59:59,0
"CALO",NA,"EMILIO",NA,NA,278,0,1,2025-10-13 20:44:50.536369,2101-01-01 02:59:59,0
"BENELLI",NA,"JOSE",NA,NA,308,0,1,2025-10-13 20:44:50.536369,2101-01-01 02:59:59,0
"COUSSIN",NA,"NELSON",NA,NA,387,0,1,2025-10-13 20:44:50.536369,2101-01-01 02:59:59,0
"DA ROSA","ROSA","JULIO",NA,NA,397,0,1,2025-10-13 20:44:50.536369,2101-01-01 02:59:59,0
"DE AMEZAGA","AMEZAGA","JUAN","JOSE",1881-01-28,406,0,1,2025-10-13 20:44:50.536369,2101-01-01 02:59:59,0
"DE LEON","LEON","LUIS",NA,NA,423,0,1,2025-10-13 20:44:50.536369,2101-01-01 02:59:59,0
"LLADO",NA,"ANTONIO",NA,NA,446,0,1,2025-10-13 20:44:50.536369,2101-01-01 02:59:59,0
"DIAZ",NA,"PEDRO",NA,NA,460,0,1,2025-10-13 20:44:50.536369,2101-01-01 02:59:59,0
"FALCO",NA,"ANTONIO",NA,NA,519,0,1,2025-10-13 20:44:50.536369,2101-01-01 02:59:59,0
"PASEYRO",NA,"RICARDO",NA,NA,520,0,1,2025-10-13 20:44:50.536369,2101-01-01 02:59:59,0
"FERNANDEZ","RIOS","OVIDIO",NA,1883-02-19,536,0,1,2025-10-13 20:44:50.536369,2101-01-01 02:59:59,0
"FONTES",NA,"HECTOR",NA,NA,567,0,1,2025-10-13 20:44:50.536369,2101-01-01 02:59:59,0
"FREIRE",NA,"TULIO",NA,NA,579,0,1,2025-10-13 20:44:50.536369,2101-01-01 02:59:59,0
"GARCIA",NA,"GENARO",NA,1898-09-19,611,0,1,2025-10-13 20:44:50.536369,2101-01-01 02:59:59,0
