"primer_apellido","segundo_apellido","primer_nombre","segundo_nombre","fecha_nac","id_politico","agregado","id_fuente","fecha_desde","fecha_hasta","formas_de_escribir"
"SOSA",NA,"FILENO",NA,NA,3444,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"PENA","BARRETO","VALENTIN",NA,NA,3445,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"RAMIS",NA,"DIONISIO",NA,NA,3446,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"ROIRAS",NA,"PEDRO",NA,NA,3447,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"DIAZ","PELUFFO","JULIO",NA,NA,3448,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"PEREYRA",NA,"ELIO",NA,NA,3449,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"TIMOTEO","CARBALLO","PAZ",NA,1934-02-05,3450,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"DIESTE",NA,"ELADIO","F.",1880-06-01,3451,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"REY",NA,"EDUARDO","S.",NA,3452,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"PECOCHE",NA,"JOSE","MARIA",NA,3453,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"ROSA","GIFFUNI","PEDRO",NA,NA,3454,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"ORTIZ","URRUTIA","EFRAIN",NA,1896-11-17,3456,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"GELIO","SALORIO","JUAN",NA,NA,3457,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"IPARRAGUERRE",NA,"JOSE",NA,NA,3458,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"AOSTALLI","MONTALDO","LUIS",NA,1885-09-06,3459,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"RIVERO",NA,"CARLOS","MARIA",NA,3460,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"LAZAGUE",NA,"ESTEBAN",NA,NA,3461,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"LEMEZ",NA,"VILLANUEVA",NA,NA,3462,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"OLIVERA","CALAMET","ALFREDO",NA,NA,3463,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"PEREDA",NA,"EUSTAQUIO","E.",NA,3464,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"GOSO",NA,"JOSE","RAMIRO",NA,3465,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"GUICHON",NA,"ALEJO","F.",NA,3466,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"SANZ",NA,"SANTIAGO","S.",NA,3467,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"VILLALBA",NA,"JOSE","P.",NA,3468,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"ORTIZ",NA,"ALFONSO","J.",NA,3469,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"FIGOLI",NA,"MATEO",NA,NA,3470,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"DAGNINO",NA,"ALBERTO","R.",1871-06-01,3471,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"STELLA",NA,"JUAN","A.",NA,3472,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"LARRAYOZ",NA,"BERNARDO","DOMINGO",NA,3473,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"HIRIART",NA,"JUAN",NA,NA,3474,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"RUIZ",NA,"ESTEBAN",NA,NA,3475,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"DEBALI",NA,"JACINTO","J.",NA,3476,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"REQUITERENA",NA,"FRANCISCO",NA,NA,3477,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"STIRLING","HAEDO","DIEGO",NA,NA,3478,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"GARCIA",NA,"ROGELIO",NA,NA,3479,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"PAIVA","OLIVERA","ATILIO",NA,1892-03-02,3480,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"RIVERO",NA,"ANGEL","MARIA",NA,3481,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
"DINEGRI","COSTA","MIGUEL",NA,1878-08-18,3482,0,1,2025-10-12 18:41:19.755625,2101-01-01 02:59:59,0
