"primer_apellido","segundo_apellido","primer_nombre","segundo_nombre","id_politico","partido","fecha_inicio","fecha_fin","legislatura","cargo","status","circunscripcion","sexo","fuente","fecha_nac","fecha_inicio_l","fecha_fin_l","fecha_intermedia","ed_asumir_1","ed_asumir","edad_asumir","legislaturas_agrupadas"
"LOMBARDO",NA,"RICARDO",NA,1895,"Partido Colorado",2004-06-27,2004-06-27,45,"Candidato Precandidato Presidente",NA,NA,1,NA,NA,2000-02-15,2005-02-14,2002-08-16,NA,NA,NA,"1985-2020"
"LONG",NA,"RUPERTO",NA,822,"Partido Nacional",2005-02-15,NA,46,"Senador","Titular",NA,1,NA,1952-12-23,2005-02-15,2010-02-14,2007-08-16 12:00:00,NA,52,52,"1985-2020"
"LONG",NA,"MARIO",NA,1896,"Partido Nacional",NA,NA,41,"Diputado","Suplente","Rio Negro",1,NA,1917-03-28,1972-02-15,1973-06-27,1972-10-21,55,NA,55,"1934-1973"
"LONG",NA,"MARIO",NA,1896,"Partido Nacional",NA,NA,42,"Diputado","Suplente","Rio Negro",1,NA,1917-03-28,1985-02-15,1990-02-14,1987-08-16 12:00:00,70,NA,70,"1985-2020"
"LONGO",NA,"FERNANDO",NA,823,"Frente Amplio",2005-02-15,NA,46,"Diputado","Titular","Flores",1,NA,1960-01-31,2005-02-15,2010-02-14,2007-08-16 12:00:00,NA,45,45,"1985-2020"
"LOPATER",NA,"GRACIELA",NA,3025,"Frente Amplio",2015-03-01,NA,48,"Concejal","Titular","Canelones Salinas",0,NA,1952-08-28,2015-02-15,2020-02-14,2017-08-15 12:00:00,NA,62,62,"1985-2020"
"LOPEZ","ALLEGUE","ALVARO",NA,824,"Partido Nacional",1960-07-13,NA,38,"Diputado","Suplente","Rio Negro",1,NA,NA,1959-02-15,1963-02-14,1961-02-14,NA,NA,NA,"1934-1973"
"LOPEZ",NA,"ARNOLDO",NA,825,"Partido Nacional",1963-11-20,1963-12-25,39,"Diputado","Suplente","Florida",1,NA,NA,1963-02-15,1967-02-14,1965-02-14,NA,NA,NA,"1934-1973"
"LOPEZ",NA,"ARNOLDO",NA,825,"Partido Nacional",1971-09-13,1972-01-13,40,"Diputado","Suplente","Canelones",1,NA,NA,1967-02-15,1972-02-14,1969-08-15 12:00:00,NA,NA,NA,"1934-1973"
"LOPEZ","BALESTRA","OSCAR",NA,826,"Partido Nacional",1972-02-15,1973-06-27,41,"Diputado","Titular","Tacuarembo",1,NA,1935-01-08,1972-02-15,1973-06-27,1972-10-21,NA,37,37,"1934-1973"
"LOPEZ","BALESTRA","OSCAR",NA,826,"Partido Nacional",1985-02-15,1990-02-14,42,"Diputado","Titular","Montevideo",1,NA,1935-01-08,1985-02-15,1990-02-14,1987-08-16 12:00:00,NA,50,50,"1985-2020"
"LOPEZ","BARRERA","JORGE",NA,827,"Partido Colorado",1972-02-15,1973-06-27,41,"Diputado","Titular","Rocha",1,NA,1924-06-01,1972-02-15,1973-06-27,1972-10-21,NA,47,47,"1934-1973"
"LOPEZ",NA,"CARLOS","A.",828,"Partido Nacional",2001-06-27,2001-07-04,45,"Diputado","Suplente","Canelones",1,NA,NA,2000-02-15,2005-02-14,2002-08-16,NA,NA,NA,"1985-2020"
"LOPEZ",NA,"FRANCISCO","H.",829,"Partido Colorado",1902-02-13,1904-02-23,21,"Diputado","Titular","Rocha",1,NA,NA,1902-02-08,1905-02-06,1903-08-09,NA,NA,NA,"1902-1933"
"LOPEZ",NA,"FRANCISCO","H.",829,"Partido Colorado",1908-02-15,1911-02-14,23,"Diputado","Titular","Rocha",1,NA,NA,1908-02-08,1911-01-23,1909-08-01,NA,NA,NA,"1902-1933"
"LOPEZ",NA,"FRANCISCO","H.",829,"Partido Colorado",1923-02-15,1926-02-14,28,"Diputado","Titular","Rocha",1,NA,NA,1923-02-01,1926-02-12,1924-08-07 12:00:00,NA,NA,NA,"1902-1933"
"LOPEZ","LIDNER","MAXIMILIANO",NA,830,"Partido Nacional",1943-05-03,NA,34,"Diputado","Suplente","Montevideo",1,NA,NA,1943-02-04,1947-02-10,1945-02-06 12:00:00,NA,NA,NA,"1934-1973"
"LOPEZ","GARIGLIO","ANA",NA,1897,"Partido Colorado",NA,NA,44,"Diputado","Suplente","Montevideo",0,NA,1945-07-09,1995-02-15,2000-02-14,1997-08-15 12:00:00,52,NA,52,"1985-2020"
"LOPEZ",NA,"HENRY",NA,1898,"Partido Nacional",NA,NA,45,"Diputado","Suplente","Rivera",1,NA,NA,2000-02-15,2005-02-14,2002-08-16,NA,NA,NA,"1985-2020"
"LOPEZ","HODGSON","ANTONIO",NA,1899,"Partido Nacional",NA,NA,44,"Diputado","Suplente","Florida",1,NA,1951-03-28,1995-02-15,2000-02-14,1997-08-15 12:00:00,46,NA,46,"1985-2020"
"LOPEZ","HODGSON","ANTONIO",NA,1899,"Partido Nacional",NA,NA,45,"Diputado","Suplente","Florida",1,NA,1951-03-28,2000-02-15,2005-02-14,2002-08-16,51,NA,51,"1985-2020"
"LOPEZ","MARTINEZ","NESTOR",NA,1900,"Partido Nacional",NA,NA,41,"Diputado","Suplente","Cerro Largo",1,NA,NA,1972-02-15,1973-06-27,1972-10-21,NA,NA,NA,"1934-1973"
"LOPEZ","MARTINEZ","NESTOR",NA,1900,"Partido Nacional",NA,NA,42,"Diputado","Suplente","Cerro Largo",1,NA,NA,1985-02-15,1990-02-14,1987-08-16 12:00:00,NA,NA,NA,"1985-2020"
"LOPEZ",NA,"NORBERTO","S.",1901,"Partido Colorado",NA,NA,36,"Diputado","Suplente","Maldonado",1,NA,NA,1951-02-15,1955-02-14,1953-02-14,NA,NA,NA,"1934-1973"
"LOPEZ","ORTIZ","ERNESTO",NA,1902,"Partido Nacional",NA,NA,45,"Diputado","Suplente","Rivera",1,NA,1963-07-21,2000-02-15,2005-02-14,2002-08-16,39,NA,39,"1985-2020"
"LOPEZ",NA,"RODOLFO",NA,1903,"Partido por el Gobierno del Pueblo",NA,NA,43,"Diputado","Suplente","Maldonado",1,NA,NA,1990-02-15,1995-02-14,1992-08-15 12:00:00,NA,NA,NA,"1985-2020"
