"primer_apellido","segundo_apellido","primer_nombre","segundo_nombre","id_politico","partido","fecha_inicio","fecha_fin","cargo","status","circunscripcion","sexo","id_fuente","fecha_nac","fecha_inicio_l","fecha_fin_l","fecha_intermedia","ed_asumir_1","ed_asumir","edad_asumir","legislaturas_agrupadas","inicio","fin","cargo_estandarizado","cargo_vigente","legislatura"
"ABDALA","SCHWARZ","PABLO","DANIEL",1453,"Partido Nacional",NA,NA,"Senador","Suplente",NA,1,2,1966-07-14,2010-02-15 02:00:00,2015-02-14 02:00:00,2012-08-15 03:00:00,46,NA,46,"1985-2025",2012,2012,"Senador","SI","2010-2015"
"ABDALA","SCHWARZ","PABLO","DANIEL",1453,"Partido Nacional",NA,NA,"Diputado","Titular",NA,1,2,1966-07-14,2015-02-15 02:00:00,2020-02-14 03:00:00,2017-08-15 03:00:00,NA,48,48,"1985-2025",2015,2020,"Diputado","SI","2015-2020"
"ABDALA","SCHWARZ","PABLO","DANIEL",1453,"Partido Nacional",NA,NA,"Diputado","Titular","Montevideo",1,2,1966-07-14,2005-02-15 02:00:00,2010-02-14 02:00:00,2007-08-16 03:00:00,NA,38,38,"1985-2025",2005,2010,"Diputado","SI","2005-2010"
"ABDALA","REMERCIARI","MANUEL","JUAN",5170,"Partido Colorado",NA,NA,"Diputado","Titular",NA,1,2,1959-09-08,2005-02-15 02:00:00,2010-02-14 02:00:00,2007-08-16 03:00:00,NA,45,45,"1985-2025",2005,2010,"Diputado","SI","2005-2010"
"ABEL","MELIAN","OSCAR",NA,2956,"Frente Amplio",2010-03-01,NA,"Concejal","Titular","Tacuarembo Paso de los Toros",1,1,1932-02-07,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,78,78,"1985-2025",NA,NA,"Concejal","SI","2010-2015"
"ABEL","ZARZA","JOSE",NA,3030,"Partido Nacional",2015-03-01,NA,"Concejal","Titular","Canelones Suárez",1,1,NA,2015-02-15,2020-02-14,2017-08-15 12:00:00,NA,NA,NA,"1985-2025",NA,NA,"Concejal","SI","2015-2020"
"ABELENDA",NA,"MARCOS",NA,1454,"Frente Amplio",NA,NA,"Diputado","Suplente","Montevideo",1,1,1949-06-30,1990-02-15,1995-02-14,1992-08-15 12:00:00,43,NA,43,"1985-2025",NA,NA,"Diputado","SI","1990-1995"
"ABELENDA",NA,"MARCOS",NA,1454,"Frente Amplio",NA,NA,"Diputado","Titular","Montevideo",1,1,1949-06-30,1995-02-15,2000-02-14,1997-08-15 12:00:00,48,NA,48,"1985-2025",NA,NA,"Diputado","SI","1995-2000"
"ABELENDA",NA,"MARCOS",NA,1454,"Frente Amplio",NA,NA,"Senador","Suplente",NA,1,1,1949-06-30,2000-02-15,2005-02-14,2002-08-16,53,NA,53,"1985-2025",NA,NA,"Senador","SI","2000-2005"
"ABELLA",NA,"JOSE",NA,2,"Partido Nacional",1929-02-15,1932-02-14,"Diputado","Titular","Montevideo",1,1,NA,1929-02-01,1932-01-29,1930-08-01,NA,NA,NA,"1902-1933",NA,NA,"Diputado","SI","1929-1932"
"ABELLA","VIERA","JUAN","ANDRES",3,"Partido por la Tradicion Colorada",1926-03-15,1929-02-14,"Diputado","Titular","Colonia",1,1,NA,1926-02-09,1929-01-28,1927-08-05,NA,NA,NA,"1902-1933",NA,NA,"Diputado","SI","1926-1929"
"ABELLA","VIERA","JUAN","ANDRES",3,"Partido por la Tradicion Colorada",1929-03-11,1932-02-14,"Diputado","Titular","Colonia",1,1,NA,1929-02-01,1932-01-29,1930-08-01,NA,NA,NA,"1902-1933",NA,NA,"Diputado","SI","1929-1932"
"ABELLA","Y ESCOBAR","JULIO",NA,4,"Partido Colorado",1908-02-15,1911-02-14,"Diputado","Titular","Artigas",1,1,NA,1908-02-08,1911-01-23,1909-08-01,NA,NA,NA,"1902-1933",NA,NA,"Diputado","SI","1908-1911"
"ABELLA","Y ESCOBAR","JULIO",NA,4,"Partido Colorado",1911-02-15,1914-02-14,"Diputado","Titular","Florida",1,1,NA,1911-02-09,1914-02-09,1912-08-10,NA,NA,NA,"1902-1933",NA,NA,"Diputado","SI","1911-1914"
"ABELLA","Y ESCOBAR","JULIO",NA,4,"Partido Colorado",1914-02-15,1917-02-14,"Diputado","Titular","Rivera",1,1,NA,1914-02-09,1917-01-02,1915-07-23,NA,NA,NA,"1902-1933",NA,NA,"Diputado","SI","1914-1917"
"ABELLA","Y ESCOBAR","JULIO",NA,4,"Partido Colorado",1917-02-15,1919-02-12,"Diputado","Titular","Rivera",1,1,NA,1917-02-01,1920-02-14,1918-08-09,NA,NA,NA,"1902-1933",NA,NA,"Diputado","SI","1917-1920"
"ABELLA","Y ESCOBAR","JULIO",NA,4,"Partido Colorado",1919-02-15,1923-02-14,"Senador","Titular","Rivera",1,1,NA,1920-02-09,1923-02-14,1921-08-12 12:00:00,NA,NA,NA,"1902-1933",NA,NA,"Senador","SI","1920-1923"
"ABELLA","Y ESCOBAR","JULIO",NA,4,"Partido Colorado",1923-02-15,1924-01-21,"Senador","Titular","Rivera",1,1,NA,1923-02-01,1926-02-12,1924-08-07 12:00:00,NA,NA,NA,"1902-1933",NA,NA,"Senador","SI","1923-1926"
"ABELLA",NA,"GONZALO",NA,3292,"Asamblea Popular",2019-10-27,2019-10-27,"Candidato Presidente",NA,NA,1,1,1947-12-26,2015-02-15,2020-02-14,2017-08-15 12:00:00,NA,71,71,"1985-2025",NA,NA,"Candidato Presidente","SI","2015-2020"
"ABELLA",NA,"GONZALO",NA,3292,"Asamblea Popular",2019-06-30,2019-06-30,"Candidato Precandidato Presidente",NA,NA,1,1,1947-12-26,2015-02-15,2020-02-14,2017-08-15 12:00:00,NA,71,71,"1985-2025",NA,NA,"Candidato Precandidato Presidente","SI","2015-2020"
"ABELLA",NA,"GONZALO",NA,3292,"Asamblea Popular",2014-10-26,2014-10-26,"Candidato Presidente",NA,NA,1,1,1947-12-26,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,66,66,"1985-2025",NA,NA,"Candidato Presidente","SI","2010-2015"
"ABELLA",NA,"GONZALO",NA,3292,"Asamblea Popular",2014-06-01,2014-06-01,"Candidato Precandidato Presidente",NA,NA,1,1,1947-12-26,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,66,66,"1985-2025",NA,NA,"Candidato Precandidato Presidente","SI","2010-2015"
"ABI","SAAB FLORES","OSVALDO","VICTOR",5039,"Partido Nacional",NA,NA,"Diputado","Suplente",NA,1,2,1950-09-12,2020-02-15 03:00:00,2025-02-14 03:00:00,2022-08-16 03:00:00,71,NA,71,"1985-2025",2023,2023,"Diputado","SI","2020-2025"
"ABILA",NA,"ALVARO",NA,3038,"Frente Amplio",2015-03-01,NA,"Concejal","Titular","Canelones Atlántida",1,1,1986-04-29,2015-02-15,2020-02-14,2017-08-15 12:00:00,NA,28,28,"1985-2025",NA,NA,"Concejal","SI","2015-2020"
"ABISAB",NA,"ODEL",NA,1455,"Partido Nacional",NA,NA,"Diputado","Suplente","Montevideo",1,1,1943-03-14,2000-02-15,2005-02-14,2002-08-16,59,NA,59,"1985-2025",NA,NA,"Diputado","SI","2000-2005"
"ABOAL",NA,"LUIS","MARIA",5,"Partido Nacional",1972-12-12,1973-02-11,"Diputado","Suplente","Rivera",1,1,1937-06-01,1972-02-15,1973-06-27,1972-10-21,NA,35,35,"1934-1973",NA,NA,"Diputado","SI","1972-1973"
"ABONDET",NA,"EMILIO",NA,2894,"Partido Colorado",2010-03-01,NA,"Concejal","Titular","Soriano Cardona",1,1,1956-08-25,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,53,53,"1985-2025",NA,NA,"Concejal","SI","2010-2015"
"ABREU",NA,"SERGIO",NA,6,"Partido Nacional",1990-02-15,1995-02-14,"Senador","Titular",NA,1,1,1945-11-12,1990-02-15,1995-02-14,1992-08-15 12:00:00,NA,44,44,"1985-2025",NA,NA,"Senador","SI","1990-1995"
"ABREU","DE MACHADO","MARGARITA",NA,1456,"Partido Nacional",NA,NA,"Diputado","Suplente","Rocha",0,1,1900-04-15,1947-02-13,1951-02-12,1949-02-12,48,NA,48,"1934-1973",NA,NA,"Diputado","SI","1947-1951"
"ABREU",NA,"SERGIO",NA,6,"Partido Nacional",1993-01-04,1995-03-01,"Ministro Relaciones Exteriores","Titular",NA,1,1,1945-11-12,1990-02-15,1995-02-14,1992-08-15 12:00:00,NA,47,47,"1985-2025",NA,NA,"Ministro Relaciones Exteriores","SI","1990-1995"
"ABREU",NA,"SERGIO",NA,6,"Partido Nacional",2000-03-01,2002-11-12,"Ministro Industria, Energia y Mineria","Titular",NA,1,1,1945-11-12,2000-02-15,2005-02-14,2002-08-16,NA,54,54,"1985-2025",NA,NA,"Ministro Industria, Energía y Minería","SI","2000-2005"
"ABREU",NA,"SERGIO",NA,6,"Partido Nacional",2004-10-31,2004-10-31,"Candidato Vicepresidente",NA,NA,1,1,1945-11-12,2000-02-15,2005-02-14,2002-08-16,NA,58,58,"1985-2025",NA,NA,"Candidato Vicepresidente","SI","2000-2005"
"ABREU",NA,"SERGIO",NA,6,"Partido Nacional",1999-10-31,1999-10-31,"Candidato Vicepresidente",NA,NA,1,1,1945-11-12,1995-02-15,2000-02-14,1997-08-15 12:00:00,NA,53,53,"1985-2025",NA,NA,"Candidato Vicepresidente","SI","1995-2000"
"ABREU",NA,"DANIEL",NA,4256,"Frente Amplio",2010-03-01,NA,"Concejal","Titular","Montevideo G",1,1,NA,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,NA,NA,"1985-2025",NA,NA,"Concejal","SI","2010-2015"
"ABREU",NA,"JAVIER",NA,4257,"Partido Nacional",2015-03-01,NA,"Concejal","Titular","Canelones Los Cerrillos",1,1,NA,2015-02-15,2020-02-14,2017-08-15 12:00:00,NA,NA,NA,"1985-2025",NA,NA,"Concejal","SI","2015-2020"
"ABREU","BONILLA","SERGIO",NA,6,"Partido Nacional",NA,NA,"Senador","Titular",NA,1,2,1945-11-12,2005-02-15 02:00:00,2010-02-14 02:00:00,2007-08-16 03:00:00,NA,59,59,"1985-2025",2005,2010,"Senador","SI","2005-2010"
"ABREU","BONILLA","SERGIO",NA,6,"Partido Nacional",NA,NA,"Senador","Titular",NA,1,2,1945-11-12,2010-02-15 02:00:00,2015-02-14 02:00:00,2012-08-15 03:00:00,NA,64,64,"1985-2025",2010,2015,"Senador","SI","2010-2015"
"ABREU","ALVES","TERESA",NA,5071,"Partido Colorado",NA,NA,"Diputado","Suplente",NA,0,2,NA,2020-02-15 03:00:00,2025-02-14 03:00:00,2022-08-16 03:00:00,NA,NA,NA,"1985-2025",2020,2024,"Diputado","SI","2020-2025"
"ABREU","BONILLA","SERGIO",NA,6,"Partido Nacional",NA,NA,"Senador","Suplente",NA,1,2,1945-11-12,2020-02-15 03:00:00,2025-02-14 03:00:00,2022-08-16 03:00:00,76,NA,76,"1985-2025",2020,2020,"Senador","SI","2020-2025"
"ABT",NA,"ANDRES",NA,2970,"Partido de la Concertacion",2015-03-01,NA,"Alcalde","Titular","Montevideo CH",1,1,1973-06-01,2015-02-15,2020-02-14,2017-08-15 12:00:00,NA,41,41,"1985-2025",NA,NA,"Alcalde","SI","2015-2020"
"ABT","MURIONDO","ANDRES",NA,2970,"Partido Nacional",NA,NA,"Diputado","Suplente",NA,1,2,1973-08-11,2010-02-15 02:00:00,2015-02-14 02:00:00,2012-08-15 03:00:00,39,NA,39,"1985-2025",2010,2015,"Diputado","SI","2010-2015"
"ABT","MURIONDO","ANDRES",NA,2970,"Partido Nacional",NA,NA,"Diputado","Titular",NA,1,2,1973-08-11,2020-02-15 03:00:00,2025-02-14 03:00:00,2022-08-16 03:00:00,NA,46,46,"1985-2025",2020,2021,"Diputado","SI","2020-2025"
"ABT","MURIONDO","ANDRES",NA,2970,"Partido Nacional",NA,NA,"Diputado","Suplente",NA,1,2,1973-08-11,2005-02-15 02:00:00,2010-02-14 02:00:00,2007-08-16 03:00:00,34,NA,34,"1985-2025",2005,2009,"Diputado","SI","2005-2010"
"ACCINELLI",NA,"FRANCISCO",NA,4342,"Partido Colorado",1905-02-15,1908-02-14,"Diputado","Titular","Canelones",1,1,1872-04-07,1905-03-09,1908-01-13,1906-08-11,NA,32,32,"1902-1933",NA,NA,"Diputado","SI","1905-1908"
"ACCINELLI",NA,"FRANCISCO",NA,4342,"Partido Colorado",1908-02-15,1909-02-13,"Diputado","Titular","Canelones",1,1,1872-04-07,1908-02-08,1911-01-23,1909-08-01,NA,35,35,"1902-1933",NA,NA,"Diputado","SI","1908-1911"
"ACCINELLI",NA,"FRANCISCO",NA,4342,"Partido Colorado",1909-02-13,1911-01-23,"Senador","Titular","Canelones",1,1,1872-04-07,1908-02-08,1911-01-23,1909-08-01,NA,36,36,"1902-1933",NA,NA,"Senador","SI","1908-1911"
"ACCINELLI",NA,"FRANCISCO",NA,4342,"Partido Colorado",1911-02-09,1914-02-09,"Senador","Titular","Canelones",1,1,1872-04-07,1911-02-09,1914-02-09,1912-08-10,NA,38,38,"1902-1933",NA,NA,"Senador","SI","1911-1914"
"ACCINELLI",NA,"FRANCISCO",NA,4342,"Partido Colorado",1914-02-09,1915-02-10,"Senador","Titular","Canelones",1,1,1872-04-07,1914-02-09,1917-01-02,1915-07-23,NA,41,41,"1902-1933",NA,NA,"Senador","SI","1914-1917"
"ACCINELLI",NA,"FRANCISCO",NA,4342,"Partido Colorado",1915-02-12,1915-11-25,"Diputado","Suplente","Canelones",1,1,1872-04-07,1914-02-09,1917-01-02,1915-07-23,NA,42,42,"1902-1933",NA,NA,"Diputado","SI","1914-1917"
"ACCINELLI",NA,"FRANCISCO",NA,4342,"Partido Colorado",1934-05-18,1938-05-16,"Senador","Titular",NA,1,1,1872-04-07,1934-05-18,1938-05-16,1936-05-16 12:00:00,NA,62,62,"1934-1973",NA,NA,"Senador","SI","1934-1938"
"ACCINELLI",NA,"FRANCISCO",NA,4342,"Partido Colorado",1938-05-25,1942-02-21,"Senador","Titular",NA,1,1,1872-04-07,1938-05-24,1942-02-21,1940-04-07 12:00:00,NA,66,66,"1934-1973",NA,NA,"Senador","SI","1938-1942"
"ACCINELLI","GALVEZ","FRANCISCO",NA,4374,"Partido Colorado",1963-02-14,1964-01-22,"Senador","Titular",NA,1,1,1872-04-07,1963-02-15,1967-02-14,1965-02-14,NA,90,90,"1934-1973",NA,NA,"Senador","SI","1963-1967"
"ACEVEDO","DIAZ","EDUARDO",NA,3803,"Partido Nacional",1902-02-08,1903-09-21,"Senador","Titular","Maldonado",1,1,1851-04-20,1902-02-08,1905-02-06,1903-08-09,NA,50,50,"1902-1933",NA,NA,"Senador","SI","1902-1905"
"ACEVEDO","ALVAREZ","EDUARDO",NA,4217,"Partido Colorado",1923-03-07,1926-02-14,"Diputado","Titular","Montevideo",1,1,1893-01-15,1923-02-01,1926-02-12,1924-08-07 12:00:00,NA,30,30,"1902-1933",NA,NA,"Diputado","SI","1923-1926"
"ACEVEDO","ALVAREZ","EDUARDO",NA,4217,"Partido Colorado",1926-02-15,1929-02-14,"Diputado","Titular","Montevideo",1,1,1893-01-15,1926-02-09,1929-01-28,1927-08-05,NA,33,33,"1902-1933",NA,NA,"Diputado","SI","1926-1929"
"ACEVEDO","ALVAREZ","EDUARDO",NA,4217,"Partido Colorado",1929-02-15,1932-01-08,"Diputado","Titular","Montevideo",1,1,1893-01-15,1929-02-01,1932-01-29,1930-08-01,NA,36,36,"1902-1933",NA,NA,"Diputado","SI","1929-1932"
"ACEVEDO","ALVAREZ","EDUARDO",NA,4217,"Partido Colorado",1943-02-15,1947-02-14,"Diputado","Titular","Montevideo",1,1,1893-01-15,1943-02-04,1947-02-10,1945-02-06 12:00:00,NA,50,50,"1934-1973",NA,NA,"Diputado","SI","1943-1947"
"ACEVEDO","ALVAREZ","EDUARDO",NA,4217,"Partido Colorado",1947-02-15,1951-02-12,"Senador","Titular",NA,1,1,1893-01-15,1947-02-13,1951-02-12,1949-02-12,NA,54,54,"1934-1973",NA,NA,"Senador","SI","1947-1951"
"ACEVEDO",NA,"EDUARDO",NA,4218,"Partido Colorado",1911-03-04,1913-03-28,"Ministro Industrias, Trabajo y Comunicacion","Titular",NA,1,1,1857-06-18,1911-02-09,1914-02-09,1912-08-10,NA,53,53,"1902-1933",NA,NA,"Ministro Industria, Energía y Minería","NO","1911-1914"
"ACEVEDO","ALVAREZ","EDUARDO",NA,4217,"Partido Colorado",1927-03-10,1929-04-02,"Ministro Industrias, Trabajo y Comunicacion","Titular",NA,1,1,1893-01-15,1926-02-09,1929-01-28,1927-08-05,NA,34,34,"1902-1933",NA,NA,"Ministro Industria, Energía y Minería","NO","1926-1929"
"ACEVEDO","ALVAREZ","EDUARDO",NA,4217,"Partido Colorado",1952-03-01,1955-03-01,"Ministro Hacienda","Titular",NA,1,1,1893-01-15,1951-02-15,1955-02-14,1953-02-14,NA,59,59,"1934-1973",NA,NA,"Ministro Economía y Finanzas","NO","1951-1955"
"ACHE","ETCHART","NASIM",NA,7,"Partido Colorado",1951-06-14,NA,"Diputado","Suplente","Montevideo",1,1,1917-03-08,1951-02-15,1955-02-14,1953-02-14,NA,34,34,"1934-1973",NA,NA,"Diputado","SI","1951-1955"
"ACHE","ETCHART","NASIM",NA,7,"Partido Colorado",1963-02-15,1967-02-14,"Diputado","Titular","Rocha",1,1,1917-03-08,1963-02-15,1967-02-14,1965-02-14,NA,45,45,"1934-1973",NA,NA,"Diputado","SI","1963-1967"
"ACHE","ETCHART","NASIM",NA,7,"Partido Colorado",1967-02-15,1972-02-14,"Diputado","Titular","Montevideo",1,1,1917-03-08,1967-02-15,1972-02-14,1969-08-15 12:00:00,NA,49,49,"1934-1973",NA,NA,"Diputado","SI","1967-1972"
"ACHE","ETCHART","NASIM",NA,7,"Partido Colorado",1972-02-15,1973-06-27,"Diputado","Titular","Montevideo",1,1,1917-03-08,1972-02-15,1973-06-27,1972-10-21,NA,54,54,"1934-1973",NA,NA,"Diputado","SI","1972-1973"
"ACHE",NA,"ANTONIO",NA,1457,"Partido Colorado",NA,NA,"Diputado","Suplente","Montevideo",1,1,NA,1972-02-15,1973-06-27,1972-10-21,NA,NA,NA,"1934-1973",NA,NA,"Diputado","SI","1972-1973"
"ACHE",NA,"EDUARDO",NA,1458,"Partido Colorado",NA,NA,"Senador","Suplente",NA,1,1,1956-08-11,1990-02-15,1995-02-14,1992-08-15 12:00:00,36,NA,36,"1985-2025",NA,NA,"Senador","SI","1990-1995"
"ACHE",NA,"EDUARDO",NA,1458,"Partido Colorado",1992-02-11,1994-05-04,"Ministro Industria, Energia y Mineria","Titular",NA,1,1,1956-08-11,1990-02-15,1995-02-14,1992-08-15 12:00:00,NA,35,35,"1985-2025",NA,NA,"Ministro Industria, Energía y Minería","SI","1990-1995"
"ACHE",NA,"EDUARDO",NA,1458,"Partido Colorado",1994-11-27,1994-11-27,"Candidato Vicepresidente",NA,NA,1,1,1956-08-11,1990-02-15,1995-02-14,1992-08-15 12:00:00,NA,38,38,"1985-2025",NA,NA,"Candidato Vicepresidente","SI","1990-1995"
"ACORDAGOITIA","AMARELLA","OSVALDO","ROSENDO",4689,"Frente Amplio",NA,NA,"Diputado","Suplente",NA,1,2,1932-04-21,2010-02-15 02:00:00,2015-02-14 02:00:00,2012-08-15 03:00:00,80,NA,80,"1985-2025",2010,2010,"Diputado","SI","2010-2015"
"ACOSTA",NA,"EVERGISTO",NA,8,"Partido Colorado",1957-03-15,1959-02-14,"Diputado","Suplente","Rivera",1,1,NA,1955-02-15,1959-02-03,1957-02-08 12:00:00,NA,NA,NA,"1934-1973",NA,NA,"Diputado","SI","1955-1959"
"ACOSTA","Y LARA","FERNANDO",NA,11,"Partido Colorado",1938-05-25,1942-02-21,"Diputado","Titular","Montevideo",1,1,NA,1938-05-24,1942-02-21,1940-04-07 12:00:00,NA,NA,NA,"1934-1973",NA,NA,"Diputado","SI","1938-1942"
"ACOSTA","Y LARA","RAUL",NA,12,"Partido Colorado",NA,1989-10-01,"Senador","Suplente",NA,1,1,NA,1985-02-15,1990-02-14,1987-08-16 12:00:00,NA,NA,NA,"1985-2025",NA,NA,"Senador","SI","1985-1990"
"ACOSTA",NA,"LUIS","C.",1459,"Partido Colorado",NA,NA,"Diputado","Suplente","Canelones",1,1,NA,1934-05-18,1938-05-16,1936-05-16 12:00:00,NA,NA,NA,"1934-1973",NA,NA,"Diputado","SI","1934-1938"
"ACOSTA",NA,"LUIS","C.",1459,"Partido Colorado",NA,NA,"Diputado","Suplente","Canelones",1,1,NA,1951-02-15,1955-02-14,1953-02-14,NA,NA,NA,"1934-1973",NA,NA,"Diputado","SI","1951-1955"
"ACOSTA",NA,"LUIS","C.",1459,"Partido Colorado",NA,NA,"Diputado","Titular","Canelones",1,1,NA,1955-02-15,1959-02-03,1957-02-08 12:00:00,NA,NA,NA,"1934-1973",NA,NA,"Diputado","SI","1955-1959"
