"primer_apellido","segundo_apellido","primer_nombre","segundo_nombre","id_politico","partido","fecha_inicio","fecha_fin","cargo","status","circunscripcion","sexo","id_fuente","fecha_nac","fecha_inicio_l","fecha_fin_l","fecha_intermedia","ed_asumir_1","ed_asumir","edad_asumir","legislaturas_agrupadas","inicio","fin","cargo_estandarizado","cargo_vigente","legislatura"
"CASTILLO","RAMIREZ","ESBAR","GONZALO",4578,"Partido Nacional",NA,NA,"Diputado","Suplente",NA,1,2,1985-01-27,2010-02-15 02:00:00,2015-02-14 02:00:00,2012-08-15 03:00:00,27,NA,27,"1985-2025",2010,2013,"Diputado","SI","2010-2015"
"CASTILLO","FERREIRA","JUAN","ALBERTO",4794,"Frente Amplio",NA,NA,"Senador","Suplente",NA,1,2,1957-11-22,2015-02-15 02:00:00,2020-02-14 03:00:00,2017-08-15 03:00:00,59,NA,59,"1985-2025",2018,2020,"Senador","SI","2015-2020"
"CASTILLO","FERREIRA","JUAN","ALBERTO",4794,"Frente Amplio",NA,NA,"Senador","Suplente",NA,1,2,1957-11-22,2015-02-15 02:00:00,2020-02-14 03:00:00,2017-08-15 03:00:00,59,NA,59,"1985-2025",2017,2017,"Senador","SI","2015-2020"
"CASTILLO","FERREIRA","JUAN","ALBERTO",4794,"Frente Amplio",NA,NA,"Senador","Suplente",NA,1,2,1957-11-22,2020-02-15 03:00:00,2025-02-14 03:00:00,2022-08-16 03:00:00,64,NA,64,"1985-2025",2020,2024,"Senador","SI","2020-2025"
"CASTRO","ZABALETA","MANUEL",NA,323,"Partido Nacional",1920-02-15,1923-02-14,"Diputado","Titular","Lavalleja",1,1,NA,1920-02-09,1923-02-14,1921-08-12 12:00:00,NA,NA,NA,"1902-1933",NA,NA,"Diputado","SI","1920-1923"
"CASTRO","ZABALETA","MANUEL",NA,323,"Partido Nacional",1923-02-15,1926-02-14,"Diputado","Titular","Lavalleja",1,1,NA,1923-02-01,1926-02-12,1924-08-07 12:00:00,NA,NA,NA,"1902-1933",NA,NA,"Diputado","SI","1923-1926"
"CASTRO",NA,"LAVALLEJA",NA,1639,"Partido Nacional",NA,NA,"Diputado","Suplente","Cerro Largo",1,1,NA,1963-02-15,1967-02-14,1965-02-14,NA,NA,NA,"1934-1973",NA,NA,"Diputado","SI","1963-1967"
"CASTRO",NA,"NORA",NA,1640,"Frente Amplio",NA,NA,"Diputado","Suplente","Montevideo",1,1,NA,1995-02-15,2000-02-14,1997-08-15 12:00:00,NA,NA,NA,"1985-2025",NA,NA,"Diputado","SI","1995-2000"
"CASTRO",NA,"NORA",NA,1640,"Frente Amplio",NA,NA,"Diputado","Titular","Montevideo",1,1,NA,2000-02-15,2005-02-14,2002-08-16,NA,NA,NA,"1985-2025",NA,NA,"Diputado","SI","2000-2005"
"CASTRO","SARAVIA","MARIANO",NA,1641,"Partido Nacional",NA,NA,"Diputado","Suplente","Cerro Largo",1,1,NA,1955-02-15,1959-02-03,1957-02-08 12:00:00,NA,NA,NA,"1934-1973",NA,NA,"Diputado","SI","1955-1959"
"CASTRO",NA,"TOMAS",NA,4427,"Partido Nacional",NA,NA,"Diputado","Suplente","San Jose",1,1,NA,2000-02-15,2005-02-14,2002-08-16,NA,NA,NA,"1985-2025",NA,NA,"Diputado","SI","2000-2005"
"CASTRO","URQUIOLA","OSCAR",NA,1642,"Frente Amplio",NA,NA,"Diputado","Suplente","Montevideo",1,1,1932-12-30,1990-02-15,1995-02-14,1992-08-15 12:00:00,59,NA,59,"1985-2025",NA,NA,"Diputado","SI","1990-1995"
"CASTRO",NA,"YAMANDU",NA,1643,"Partido Nacional",NA,NA,"Diputado","Suplente","Canelones",1,1,1956-07-18,2000-02-15,2005-02-14,2002-08-16,46,NA,46,"1985-2025",NA,NA,"Diputado","SI","2000-2005"
"CASTRO",NA,"CRISTINA",NA,2656,"Frente Amplio",2010-03-01,NA,"Alcalde","Titular","Canelones Progreso",0,1,NA,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,NA,NA,"1985-2025",NA,NA,"Alcalde","SI","2010-2015"
"CASTRO",NA,"LEONARDO",NA,2921,"Partido Nacional",2015-03-01,NA,"Concejal","Titular","Canelones Tala",1,1,NA,2015-02-15,2020-02-14,2017-08-15 12:00:00,NA,NA,NA,"1985-2025",NA,NA,"Concejal","SI","2015-2020"
"CASTRO",NA,"CELESTINO",NA,3376,"Partido Nacional",1962-11-25,1962-11-25,"Candidato Consejo Nacional de Gobierno",NA,NA,1,1,NA,1959-02-15,1963-02-14,1961-02-14,NA,NA,NA,"1934-1973",NA,NA,"Candidato Consejo Nacional de Gobierno","NO","1959-1963"
"CASTRO",NA,"FERNANDO",NA,3403,"Partido Obrero Revolucionario",1962-11-25,1962-11-25,"Candidato Consejo Nacional de Gobierno",NA,NA,1,1,NA,1959-02-15,1963-02-14,1961-02-14,NA,NA,NA,"1934-1973",NA,NA,"Candidato Consejo Nacional de Gobierno","NO","1959-1963"
"CASTRO",NA,"FELICINDRO",NA,2790,"Partido Colorado",1958-11-30,1958-11-30,"Candidato Consejo Nacional de Gobierno",NA,NA,1,1,NA,1955-02-15,1959-02-03,1957-02-08 12:00:00,NA,NA,NA,"1934-1973",NA,NA,"Candidato Consejo Nacional de Gobierno","NO","1955-1959"
"CASTRO","H","JUAN","PEDRO",3865,"Partido Colorado",1907-11-28,1908-02-14,"Diputado","Suplente","Tacuarembo",1,1,NA,1905-03-09,1908-01-13,1906-08-11,NA,NA,NA,"1902-1933",NA,NA,"Diputado","SI","1905-1908"
"CASTRO","H","JUAN","PEDRO",3865,"Partido Colorado",1908-02-27,1911-02-14,"Diputado","Titular","Montevideo",1,1,NA,1908-02-08,1911-01-23,1909-08-01,NA,NA,NA,"1902-1933",NA,NA,"Diputado","SI","1908-1911"
"CASTRO",NA,"JUAN","PEDRO",3865,"Partido Colorado",1902-02-08,1905-02-06,"Senador","Titular","Tacuarembo",1,1,NA,1902-02-08,1905-02-06,1903-08-09,NA,NA,NA,"1902-1933",NA,NA,"Senador","SI","1902-1905"
"CASTRO",NA,"JUAN","PEDRO",3865,"Partido Colorado",1905-02-09,1906-06-26,"Senador","Titular","Tacuarembo",1,1,NA,1905-03-09,1908-01-13,1906-08-11,NA,NA,NA,"1902-1933",NA,NA,"Senador","SI","1905-1908"
"CASTRO",NA,"JUAN","PEDRO",3865,"Partido Colorado",1911-02-11,1913-10-30,"Senador","Titular","Paysandu",1,1,NA,1911-02-09,1914-02-09,1912-08-10,NA,NA,NA,"1902-1933",NA,NA,"Senador","SI","1911-1914"
"CASTRO","ONETTI","CARLOS",NA,3866,"Partido Colorado",1933-03-13,1933-03-31,"Diputado","Suplente","Artigas",1,1,NA,1932-02-09,1933-03-31,1932-09-04,NA,NA,NA,"1902-1933",NA,NA,"Diputado","SI","1932-1933"
"CASTRO","RIERA","OMAR",NA,3867,"Partido Nacional",1995-02-15,2000-02-14,"Diputado","Titular","Salto",1,1,1933-06-30,1995-02-15,2000-02-14,1997-08-15 12:00:00,NA,61,61,"1985-2025",NA,NA,"Diputado","SI","1995-2000"
"CASTRO","RAMOS","EDUARDO",NA,3868,"Partido Colorado",NA,NA,"Diputado","Suplente","Artigas",1,1,NA,1963-02-15,1967-02-14,1965-02-14,NA,NA,NA,"1934-1973",NA,NA,"Diputado","SI","1963-1967"
"CASTRO",NA,"EDUARDO",NA,3869,"Partido Nacional",2010-03-01,NA,"Concejal","Titular","San Jose Libertad",1,1,NA,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,NA,NA,"1985-2025",NA,NA,"Concejal","SI","2010-2015"
"CASTRO",NA,"JUAN",NA,3870,"Frente Amplio",2015-03-01,NA,"Concejal","Titular","Canelones Soca",1,1,NA,2015-02-15,2020-02-14,2017-08-15 12:00:00,NA,NA,NA,"1985-2025",NA,NA,"Concejal","SI","2015-2020"
"CASTRO",NA,"EDUARDO",NA,3869,"Partido Nacional",2015-03-01,NA,"Concejal","Titular","San Jose Libertad",1,1,NA,2015-02-15,2020-02-14,2017-08-15 12:00:00,NA,NA,NA,"1985-2025",NA,NA,"Concejal","SI","2015-2020"
"CASTRO","BIANCHINO","OMAR",NA,3871,"Union Popular",1962-11-25,1962-11-25,"Candidato Consejo Nacional de Gobierno",NA,NA,1,1,NA,1959-02-15,1963-02-14,1961-02-14,NA,NA,NA,"1934-1973",NA,NA,"Candidato Consejo Nacional de Gobierno","NO","1959-1963"
"CASTRO","ONETTI","CARLOS",NA,3866,"Partido Colorado",1926-02-13,1929-10-02,"Consejero Departamental","Titular","Artigas",1,1,NA,1926-02-09,1929-01-28,1927-08-05,NA,NA,NA,"1902-1933",NA,NA,"Consejero Departamental","NO","1926-1929"
"CASTRO",NA,"CARLOS",NA,3866,"Partido Colorado",1963-02-15,1967-02-14,"Concejal Departamental","Titular","Artigas",1,1,NA,1963-02-15,1967-02-14,1965-02-14,NA,NA,NA,"1934-1973",NA,NA,"Concejal Departamental","NO","1963-1967"
"CASTRO",NA,"FELICIANO",NA,5288,"Frente Amplio",2010-03-01,NA,"Concejal","Titular","Rocha Lascano",1,1,NA,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,NA,NA,"1985-2025",NA,NA,"Concejal","SI","2010-2015"
"CASTRO","VELAZQUEZ","HUMBERTO","MICASIO",4957,"Frente Amplio",NA,NA,"Senador","Suplente",NA,1,2,1961-04-05,2020-02-15 03:00:00,2025-02-14 03:00:00,2022-08-16 03:00:00,61,NA,61,"1985-2025",2020,2024,"Senador","SI","2020-2025"
"CASTRO","NAVAJAS","NORA","MARIA",1640,"Frente Amplio",NA,NA,"Diputado","Titular","Montevideo",0,2,1947-02-12,2005-02-15 02:00:00,2010-02-14 02:00:00,2007-08-16 03:00:00,NA,58,58,"1985-2025",2005,2010,"Diputado","SI","2005-2010"
"CASTROMAN","RODRIGUEZ","RICARDO",NA,324,"Frente Amplio",2000-02-15,2005-02-14,"Diputado","Titular","Rio Negro",1,1,1948-01-18,2000-02-15,2005-02-14,2002-08-16,NA,52,52,"1985-2025",NA,NA,"Diputado","SI","2000-2005"
"CAT",NA,"CARLOS",NA,4150,"Partido Nacional",1990-03-01,1991-08-27,"Ministro Trabajo y Seguridad Social","Titular",NA,1,1,1930-06-02,1990-02-15,1995-02-14,1992-08-15 12:00:00,NA,59,59,"1985-2025",NA,NA,"Ministro Trabajo y Seguridad Social","SI","1990-1995"
"CAT",NA,"CARLOS",NA,4150,"Partido Nacional",2000-03-01,2003-11-13,"Ministro Vivienda, Ordenamiento Territorial y Medio Ambiente","Titular",NA,1,1,1930-06-02,2000-02-15,2005-02-14,2002-08-16,NA,69,69,"1985-2025",NA,NA,"Ministro Vivienda, Ordenamiento Territorial y Medio Ambiente","SI","2000-2005"
"CATALA","MOYANO","JULIO",NA,1644,"Partido Nacional",NA,NA,"Diputado","Suplente","Montevideo",1,1,NA,1938-05-24,1942-02-21,1940-04-07 12:00:00,NA,NA,NA,"1934-1973",NA,NA,"Diputado","SI","1938-1942"
"CATALDI",NA,"FELIX","HUMBERTO",325,"Partido Colorado",1956-11-06,1957-02-03,"Diputado","Suplente","Canelones",1,1,NA,1955-02-15,1959-02-03,1957-02-08 12:00:00,NA,NA,NA,"1934-1973",NA,NA,"Diputado","SI","1955-1959"
"CATALDI",NA,"FELIX","HUMBERTO",325,"Partido Colorado",NA,1963-02-14,"Diputado","Suplente","Canelones",1,1,NA,1959-02-15,1963-02-14,1961-02-14,NA,NA,NA,"1934-1973",NA,NA,"Diputado","SI","1959-1963"
"CATALDI",NA,"WASHINGTON",NA,1645,"Partido Colorado",NA,NA,"Diputado","Titular","Montevideo",1,1,1923-08-01,1967-02-15,1972-02-14,1969-08-15 12:00:00,46,NA,46,"1934-1973",NA,NA,"Diputado","SI","1967-1972"
"CATALDI",NA,"WASHINGTON",NA,1645,"Partido Colorado",NA,NA,"Diputado","Titular","Montevideo",1,1,1923-08-01,1972-02-15,1973-06-27,1972-10-21,49,NA,49,"1934-1973",NA,NA,"Diputado","SI","1972-1973"
"CATALDI",NA,"WASHINGTON",NA,1645,"Partido Colorado",NA,NA,"Diputado","Titular","Montevideo",1,1,1923-08-01,1985-02-15,1990-02-14,1987-08-16 12:00:00,64,NA,64,"1985-2025",NA,NA,"Diputado","SI","1985-1990"
"CATALDI",NA,"ALFONSO","MARIO",2587,"Partido Colorado",1985-03-01,1990-03-01,"Secretario Corte Electoral",NA,NA,1,1,1937-04-29,1985-02-15,1990-02-14,1987-08-16 12:00:00,NA,47,47,"1985-2025",NA,NA,"Secretario Corte Electoral","SI","1985-1990"
"CATALDI",NA,"ALFONSO","MARIO",2587,"Partido Colorado",1990-03-01,1995-03-01,"Secretario Corte Electoral",NA,NA,1,1,1937-04-29,1990-02-15,1995-02-14,1992-08-15 12:00:00,NA,52,52,"1985-2025",NA,NA,"Secretario Corte Electoral","SI","1990-1995"
"CATALDI",NA,"ALFONSO","MARIO",2587,"Partido Colorado",1995-03-01,2000-03-01,"Secretario Corte Electoral",NA,NA,1,1,1937-04-29,1995-02-15,2000-02-14,1997-08-15 12:00:00,NA,57,57,"1985-2025",NA,NA,"Secretario Corte Electoral","SI","1995-2000"
"CATALDI",NA,"JOSE",NA,1529,"Por el departamento de Solis",1962-11-25,1962-11-25,"Candidato Consejo Nacional de Gobierno",NA,NA,1,1,NA,1959-02-15,1963-02-14,1961-02-14,NA,NA,NA,"1934-1973",NA,NA,"Candidato Consejo Nacional de Gobierno","NO","1959-1963"
"CATALDI","FREDES","FERNANDO","CARLOS",4936,"Partido Colorado",NA,NA,"Diputado","Suplente",NA,1,2,1974-06-01,2020-02-15 03:00:00,2025-02-14 03:00:00,2022-08-16 03:00:00,48,NA,48,"1985-2025",2021,2023,"Diputado","SI","2020-2025"
"CATALOGNE","HERRAN","DIEGO",NA,326,"Partido Nacional",1953-03-17,1953-05-06,"Diputado","Suplente","Tacuarembo",1,1,1911-03-06,1951-02-15,1955-02-14,1953-02-14,NA,42,42,"1934-1973",NA,NA,"Diputado","SI","1951-1955"
"CATALOGNE",NA,"JOSE",NA,3491,"Partido Nacional",1926-02-13,1929-10-02,"Consejero Departamental","Titular","Tacuarembo",1,1,NA,1926-02-09,1929-01-28,1927-08-05,NA,NA,NA,"1902-1933",NA,NA,"Consejero Departamental","NO","1926-1929"
"CATALOGNE",NA,"ELIAS","MANUEL",3542,"Partido Nacional",1932-02-23,1933-03-31,"Consejero Departamental","Titular","Tacuarembo",1,1,NA,1932-02-09,1933-03-31,1932-09-04,NA,NA,NA,"1902-1933",NA,NA,"Consejero Departamental","NO","1932-1933"
"CATALOGNE","LICANDRO","MARIA","MARGARITA",5175,"Frente Amplio",NA,NA,"Diputado","Suplente",NA,0,2,1949-07-08,2005-02-15 02:00:00,2010-02-14 02:00:00,2007-08-16 03:00:00,58,NA,58,"1985-2025",2005,2009,"Diputado","SI","2005-2010"
"CATELOTTI",NA,"JOSE",NA,3176,"Partido Nacional",2015-03-01,NA,"Concejal","Titular","Paysandu Quebracho",1,1,1950-08-19,2015-02-15,2020-02-14,2017-08-15 12:00:00,NA,64,64,"1985-2025",NA,NA,"Concejal","SI","2015-2020"
"CATRUFO",NA,"EMILIO","A.",1646,"Partido Nacional",NA,NA,"Diputado","Suplente","Montevideo",1,1,1909-06-01,1963-02-15,1967-02-14,1965-02-14,55,NA,55,"1934-1973",NA,NA,"Diputado","SI","1963-1967"
"CATRUFO",NA,"EMILIO","A.",1646,"Partido Nacional",NA,NA,"Diputado","Suplente","Montevideo",1,1,1909-06-01,1967-02-15,1972-02-14,1969-08-15 12:00:00,60,NA,60,"1934-1973",NA,NA,"Diputado","SI","1967-1972"
"CAVAGNARO",NA,"WALTER",NA,1647,"Partido Nacional",NA,NA,"Senador","Suplente",NA,1,1,NA,1985-02-15,1990-02-14,1987-08-16 12:00:00,NA,NA,NA,"1985-2025",NA,NA,"Senador","SI","1985-1990"
"CAVELLINI",NA,"MARIO",NA,2717,"Frente Amplio",2010-03-01,NA,"Concejal","Titular","Canelones Barros Blancos - Juan Artigas",1,1,1959-02-22,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,51,51,"1985-2025",NA,NA,"Concejal","SI","2010-2015"
"CAVIA",NA,"EUGENIO","T.",327,"Partido Colorado",1926-02-15,1929-02-14,"Diputado","Titular","Montevideo",1,1,NA,1926-02-09,1929-01-28,1927-08-05,NA,NA,NA,"1902-1933",NA,NA,"Diputado","SI","1926-1929"
"CAVIGLIA",NA,"LUIS","C.",1648,"Partido Colorado",NA,NA,"Diputado","Titular","Montevideo",1,1,1874-11-04,1917-02-01,1920-02-14,1918-08-09,43,NA,43,"1902-1933",NA,NA,"Diputado","SI","1917-1920"
"CAVIGLIA",NA,"LUIS","C.",1648,"Partido Colorado",NA,NA,"Diputado","Titular","Montevideo",1,1,1874-11-04,1923-02-01,1926-02-12,1924-08-07 12:00:00,49,NA,49,"1902-1933",NA,NA,"Diputado","SI","1923-1926"
"CAVIGLIA",NA,"LUIS","C.",1648,"Partido Colorado",1919-03-05,1922-12-11,"Ministro Industrias, Trabajo y Comunicacion","Titular",NA,1,1,1874-11-04,1917-02-01,1920-02-14,1918-08-09,NA,44,44,"1902-1933",NA,NA,"Ministro Industria, Energía y Minería","NO","1917-1920"
"CAVIGLIA",NA,"LUIS","C.",1648,"Partido Colorado",1924-11-07,1925-05-15,"Ministro Hacienda","Titular",NA,1,1,1874-11-04,1923-02-01,1926-02-12,1924-08-07 12:00:00,NA,50,50,"1902-1933",NA,NA,"Ministro Economía y Finanzas","NO","1923-1926"
"CAYETANO","MENDEZ","SONIA","RAQUEL",4863,"Frente Amplio",NA,NA,"Diputado","Suplente",NA,0,2,1968-03-03,2015-02-15 02:00:00,2020-02-14 03:00:00,2017-08-15 03:00:00,49,NA,49,"1985-2025",2015,2020,"Diputado","SI","2015-2020"
"CAZABAN","GONCALVEZ","RAUL",NA,328,"Partido Colorado",1985-02-15,1987-10-27,"Diputado","Titular","Salto",1,1,1915-04-18,1985-02-15,1990-02-14,1987-08-16 12:00:00,NA,69,69,"1985-2025",NA,NA,"Diputado","SI","1985-1990"
"CAZARRE",NA,"HEBER",NA,329,"Partido Nacional",NA,1952-11-17,"Diputado","Suplente","Rivera",1,1,1947-02-12,1951-02-15,1955-02-14,1953-02-14,NA,NA,NA,"1934-1973",NA,NA,"Diputado","SI","1951-1955"
"CEBALLE",NA,"CESAR",NA,2734,"Frente Amplio",2010-03-01,NA,"Concejal","Titular","Canelones Colonia Nicolich",1,1,1957-03-23,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,52,52,"1985-2025",NA,NA,"Concejal","SI","2010-2015"
"CEBEY",NA,"IGNACIO",NA,2822,"Partido Nacional",2010-03-01,NA,"Concejal","Titular","Rivera Vichadero",1,1,1972-09-26,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,37,37,"1985-2025",NA,NA,"Concejal","SI","2010-2015"
"CEJAS","RODRIGUEZ","CAMILO",NA,4742,"Frente Amplio",NA,NA,"Diputado","Suplente",NA,1,2,1978-11-21,2015-02-15 02:00:00,2020-02-14 03:00:00,2017-08-15 03:00:00,38,NA,38,"1985-2025",2015,2019,"Diputado","SI","2015-2020"
"CENANDES",NA,"JESUS",NA,4436,"Frente Amplio",2010-03-01,NA,"Alcalde","Titular","San Jose Ciudad del Plata",1,1,NA,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,NA,NA,"1985-2025",NA,NA,"Alcalde","SI","2010-2015"
"CENDOYA",NA,"ALCIDES",NA,3631,"Partido Colorado",1955-02-15,1959-02-14,"Concejal Departamental","Titular","Soriano",1,1,1911-06-01,1955-02-15,1959-02-03,1957-02-08 12:00:00,NA,43,43,"1934-1973",NA,NA,"Concejal Departamental","NO","1955-1959"
"CENI",NA,"ISMAEL",NA,330,"Partido Nacional",1963-02-15,1967-02-14,"Diputado","Titular","Canelones",1,1,1917-12-19,1963-02-15,1967-02-14,1965-02-14,NA,45,45,"1934-1973",NA,NA,"Diputado","SI","1963-1967"
"CENTURION",NA,"JULIO",NA,2838,"Frente Amplio",2010-03-01,NA,"Concejal","Titular","Salto Pueblo San Antonio",1,1,NA,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,NA,NA,"1985-2025",NA,NA,"Concejal","SI","2010-2015"
"CENTURION",NA,"JULIO",NA,2838,"Frente Amplio",2015-03-01,NA,"Concejal","Titular","Salto San Antonio",1,1,NA,2015-02-15,2020-02-14,2017-08-15 12:00:00,NA,NA,NA,"1985-2025",NA,NA,"Concejal","SI","2015-2020"
"CENTURION",NA,"FRANCISCO",NA,3766,"Partido Colorado",2001-02-15,2005-02-14,"Intendente","Suplente","Rio Negro",1,1,NA,2000-02-15,2005-02-14,2002-08-16,NA,NA,NA,"1985-2025",NA,NA,"Intendente","SI","2000-2005"
"CENTURION","SCHAUMAN","PABLO","ENRIQUE",4691,"Frente Amplio",NA,NA,"Diputado","Suplente",NA,1,2,1956-09-02,2010-02-15 02:00:00,2015-02-14 02:00:00,2012-08-15 03:00:00,55,NA,55,"1985-2025",2011,2014,"Diputado","SI","2010-2015"
"CERCHIARO","SAN JUAN","JOSE",NA,331,"Partido Colorado",1963-02-15,1967-02-14,"Diputado","Titular","Paysandu",1,1,NA,1963-02-15,1967-02-14,1965-02-14,NA,NA,NA,"1934-1973",NA,NA,"Diputado","SI","1963-1967"
"CERCHIARO","SAN JUAN","JOSE",NA,331,"Partido Colorado",1985-02-15,1988-12-06,"Diputado","Titular","Paysandu",1,1,NA,1985-02-15,1990-02-14,1987-08-16 12:00:00,NA,NA,NA,"1985-2025",NA,NA,"Diputado","SI","1985-1990"
"CERDEIRAS",NA,"DAOIZ","R.",332,"Partido Nacional",1926-12-10,1929-02-14,"Diputado","Suplente","Montevideo",1,1,NA,1926-02-09,1929-01-28,1927-08-05,NA,NA,NA,"1902-1933",NA,NA,"Diputado","SI","1926-1929"
"CERDEIRAS",NA,"DAOIZ","R.",332,"Partido Nacional",1929-02-15,1932-02-14,"Diputado","Titular","Montevideo",1,1,NA,1929-02-01,1932-01-29,1930-08-01,NA,NA,NA,"1902-1933",NA,NA,"Diputado","SI","1929-1932"
"CERDEIRAS",NA,"DAOIZ","R.",332,"Partido Nacional",1933-02-24,1933-03-31,"Diputado","Suplente","Montevideo",1,1,NA,1932-02-09,1933-03-31,1932-09-04,NA,NA,NA,"1902-1933",NA,NA,"Diputado","SI","1932-1933"
"CERDEIRAS","ALONSO","JULIO",NA,1649,"Partido Colorado",NA,NA,"Diputado","Suplente","Montevideo",1,1,1900-10-22,1934-05-18,1938-05-16,1936-05-16 12:00:00,35,NA,35,"1934-1973",NA,NA,"Diputado","SI","1934-1938"
"CERDEIRAS","ALONSO","JULIO",NA,1649,"Partido Colorado",NA,NA,"Diputado","Suplente","Montevideo",1,1,1900-10-22,1938-05-24,1942-02-21,1940-04-07 12:00:00,39,NA,39,"1934-1973",NA,NA,"Diputado","SI","1938-1942"
"CERDEÑA","CARDARELLO","JORGE","DANIEL",3761,"Partido Nacional",1995-02-15,2001-02-14,"Intendente",NA,"San Jose",1,1,1943-05-01,1995-02-15,2000-02-14,1997-08-15 12:00:00,NA,51,51,"1985-2025",NA,NA,"Intendente","SI","1995-2000"
"CERIANI",NA,"FEDERICO",NA,2743,"Partido Nacional",2010-03-01,NA,"Concejal","Titular","Canelones San Bautista",1,1,NA,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,NA,NA,"1985-2025",NA,NA,"Concejal","SI","2010-2015"
"CERNADA",NA,"EDUARDO",NA,2645,"Partido Colorado",2010-03-01,NA,"Concejal","Titular","Canelones Los Cerrillos",1,1,1941-11-15,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,68,68,"1985-2025",NA,NA,"Concejal","SI","2010-2015"
"CERRUTI",NA,"RODRIGO",NA,2909,"Frente Amplio",2010-03-01,NA,"Concejal","Titular","Colonia Carmelo",1,1,1972-08-08,2010-02-15,2015-02-14,2012-08-15 12:00:00,NA,37,37,"1985-2025",NA,NA,"Concejal","SI","2010-2015"
"CERSOSIMO",NA,"LISARDO",NA,1650,"Partido Colorado",NA,NA,"Diputado","Titular","San Jose",1,1,1897-06-20,1934-05-18,1938-05-16,1936-05-16 12:00:00,38,NA,38,"1934-1973",NA,NA,"Diputado","SI","1934-1938"
"CERSOSIMO",NA,"LISARDO",NA,1650,"Partido Colorado",NA,NA,"Diputado","Titular","San Jose",1,1,1897-06-20,1938-05-24,1942-02-21,1940-04-07 12:00:00,42,NA,42,"1934-1973",NA,NA,"Diputado","SI","1938-1942"
"CERSOSIMO",NA,"LISARDO",NA,1650,"Partido Colorado",NA,NA,"Diputado","Titular","San Jose",1,1,1897-06-20,1943-02-04,1947-02-10,1945-02-06 12:00:00,47,NA,47,"1934-1973",NA,NA,"Diputado","SI","1943-1947"
"CERSOSIMO",NA,"LISARDO",NA,1650,"Partido Colorado",NA,NA,"Diputado","Titular","San Jose",1,1,1897-06-20,1947-02-13,1951-02-12,1949-02-12,51,NA,51,"1934-1973",NA,NA,"Diputado","SI","1947-1951"
"CERSOSIMO",NA,"LISARDO",NA,1650,"Partido Colorado",NA,NA,"Diputado","Titular","San Jose",1,1,1897-06-20,1959-02-15,1963-02-14,1961-02-14,63,NA,63,"1934-1973",NA,NA,"Diputado","SI","1959-1963"
"CERSOSIMO",NA,"PEDRO","W.",1651,"Partido Colorado",NA,NA,"Diputado","Titular","San Jose",1,1,1921-07-30,1967-02-15,1972-02-14,1969-08-15 12:00:00,48,NA,48,"1934-1973",NA,NA,"Diputado","SI","1967-1972"
"CERSOSIMO",NA,"LISANDRO",NA,1650,"Partido Colorado",1949-08-12,1950-08-16,"Ministro Salud Publica","Titular",NA,1,1,1897-06-20,1947-02-13,1951-02-12,1949-02-12,NA,52,52,"1934-1973",NA,NA,"Ministro Salud Pública","SI","1947-1951"
"CERSOSIMO",NA,"PEDRO",NA,1651,"Partido Colorado",1969-03-24,1969-05-29,"Ministro Trabajo y Seguridad Social","Titular",NA,1,1,1921-07-30,1967-02-15,1972-02-14,1969-08-15 12:00:00,NA,47,47,"1934-1973",NA,NA,"Ministro Trabajo y Seguridad Social","SI","1967-1972"
"CERSOSIMO",NA,"PEDRO",NA,1651,"Partido Colorado",1969-06-06,1970-04-17,"Ministro Interior","Titular",NA,1,1,1921-07-30,1967-02-15,1972-02-14,1969-08-15 12:00:00,NA,47,47,"1934-1973",NA,NA,"Ministro Interior","SI","1967-1972"
"CERSOSIMO",NA,"PEDRO",NA,1651,"Partido Colorado",1971-06-03,1971-11-04,"Ministro Educacion y Cultura","Titular",NA,1,1,1921-07-30,1967-02-15,1972-02-14,1969-08-15 12:00:00,NA,49,49,"1934-1973",NA,NA,"Ministro Educación y Cultura","SI","1967-1972"
"CERSOSIMO","MICHELINI","GUSTAVO",NA,2383,"Partido Colorado",NA,NA,"Diputado","Titular","San José",1,2,1953-04-02,2010-02-15 02:00:00,2015-02-14 02:00:00,2012-08-15 03:00:00,NA,56,56,"1985-2025",2010,2015,"Diputado","SI","2010-2015"
"CERSOSIMO","MICHELINI","GUSTAVO",NA,2383,"Partido Colorado",NA,NA,"Senador","Suplente",NA,1,2,1953-04-02,2010-02-15 02:00:00,2015-02-14 02:00:00,2012-08-15 03:00:00,59,NA,59,"1985-2025",2015,2015,"Senador","SI","2010-2015"
"CERSOSIMO","MICHELINI","GUSTAVO",NA,2383,"Partido Colorado",NA,NA,"Senador","Suplente",NA,1,2,1953-04-02,2015-02-15 02:00:00,2020-02-14 03:00:00,2017-08-15 03:00:00,64,NA,64,"1985-2025",2015,2015,"Senador","SI","2015-2020"
