,nombre,fecha_nac,cargo,partido,status,inicio,fin,primer_apellido,segundo_apellido,primer_nombre,segundo_nombre,sexo,legislatura,fecha_inicio_l,fecha_fin_l,legislaturas_agrupadas
25,"CORUJO NUNEZ, CARLOS ALBERTO",1962-02-14,Diputado,Frente Amplio,Suplente,2015,2015,CORUJO,NUNEZ,CARLOS,ALBERTO,1,48,2015-02-15,2020-02-14,1985-2020
26,"COSSIA CAPDEVILA, GASTON RICARDO",1971-10-08,Diputado,Partido Nacional,Suplente,2015,2019,COSSIA,CAPDEVILA,GASTON,RICARDO,1,48,2015-02-15,2020-02-14,1985-2020
27,"COSTA SILVA, BEATRIZ LILIAN",1950-04-05,Diputado,Frente Amplio,Suplente,2016,2019,COSTA,SILVA,BEATRIZ,LILIAN,0,48,2015-02-15,2020-02-14,1985-2020
28,"COUTINHO RODRIGUEZ, GERMAN MANUEL",1970-04-01,Senador,Partido Colorado,Titular,2015,2020,COUTINHO,RODRIGUEZ,GERMAN,MANUEL,1,48,2015-02-15,2020-02-14,1985-2020
29,"CRUZ RIVERO, MARIA DE LOS ANGELES",1957-08-08,Diputado,Frente Amplio,Suplente,2017,2018,CRUZ,RIVERO,MARIA,DE,0,48,2015-02-15,2020-02-14,1985-2020
30,"DA ROSA NUNEZ, GUSTAVO",1983-04-27,Diputado,Frente Amplio,Suplente,2015,2020,DA ROSA,NUNEZ,GUSTAVO,,1,48,2015-02-15,2020-02-14,1985-2020
31,"DA SILVA CAMBOUE, SEBASTIAN",1972-06-08,Senador,Partido Nacional,Suplente,2015,2019,DA SILVA,CAMBOUE,SEBASTIAN,,1,48,2015-02-15,2020-02-14,1985-2020
32,"DASTUGUE DA ROSA, ALVARO",1980-04-03,Diputado,Partido Nacional,Titular,2015,2020,DASTUGUE,DA ROSA,ALVARO,,1,48,2015-02-15,2020-02-14,1985-2020
33,"DE BRUM DELGADO, HORACIO JAVIER",1973-01-19,Diputado,Partido Colorado,Suplente,2015,2017,DE BRUM,DELGADO,HORACIO,JAVIER,1,48,2015-02-15,2020-02-14,1985-2020
34,"DE LEON, LEONARDO",1965-08-13,Senador,Frente Amplio,Titular,2015,2020,DE LEON,,LEONARDO,,1,48,2015-02-15,2020-02-14,1985-2020
35,"DE LEON OJEDA, WALTER ULISES",1951-02-20,Diputado,Frente Amplio,Titular,2015,2020,DE LEON,OJEDA,WALTER,ULISES,1,48,2015-02-15,2020-02-14,1985-2020
36,"DE LOS SANTOS GONZALEZ, CLAUDIA BEATRIZ",1968-02-21,Diputado,Frente Amplio,Suplente,2015,2019,DE LOS SANTOS,GONZALEZ,CLAUDIA,BEATRIZ,0,48,2015-02-15,2020-02-14,1985-2020
37,"DE LOS SANTOS PIRIZ, OSCAR JOE",1962-02-17,Diputado,Frente Amplio,Titular,2015,2020,DE LOS SANTOS,PIRIZ,OSCAR,JOE,1,48,2015-02-15,2020-02-14,1985-2020
38,"DE LOS SANTOS SERVERGNINI, DARCY AMAURY",1964-09-23,Diputado,Frente Amplio,Titular,2015,2020,DE LOS SANTOS,SERVERGNINI,DARCY,AMAURY,1,48,2015-02-15,2020-02-14,1985-2020
