"primer_apellido","segundo_apellido","primer_nombre","segundo_nombre","id_politico","partido","inicio","fin","legislatura","cargo","status","circunscripcion","sexo","fecha_nac","fecha_inicio_l","fecha_fin_l","legislaturas_agrupadas","agregado","fecha_intermedia","ed_asumir","ed_asumir_1","edad_asumir"
"LIMA","PROSERPIO","ANDRES","PABLO",3954,"Frente Amplio",2015,2015,47,"Diputado","Titular","Salto",1,1973-10-31,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,36,NA,36
"LIMA","PROSERPIO","ANDRES","PABLO",3954,"Frente Amplio",2010,2014,47,"Diputado","Titular","Salto",1,1973-10-31,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,36,NA,36
"MAGURNO","SOUTO","OSCAR",NA,853,"Partido Colorado",2010,2010,47,"Diputado","Titular","Montevideo",1,1930-03-03,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,79,NA,79
"MAHIA","FREIRE","JOSE","CARLOS",3967,"Frente Amplio",2010,2015,47,"Diputado","Titular","Canelones",1,1966-08-08,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,43,NA,43
"MALLO","CALVINO","ALMA","SONIA",4178,"Partido Colorado",2010,2014,47,"Diputado","Titular","Montevideo",0,1940-08-09,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,69,NA,69
"MARTINEZ","HUELMO","RUBEN","WALDEMAR",3984,"Frente Amplio",2010,2015,47,"Diputado","Titular","Montevideo",1,1949-09-27,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,60,NA,60
"MATIAUDE","ESPINO","GRACIELA","VENANCIA MARIA",2373,"Partido Colorado",2010,2015,47,"Diputado","Titular","Canelones",0,1957-03-14,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,52,NA,52
"MICHELINI","DELLE","FELIPE","RAUL",924,"Frente Amplio",2010,2015,47,"Diputado","Titular","Montevideo",1,1961-01-24,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,49,NA,49
"MONTANER","FORMOSO","MARTHA","SILVANA",1950,"Partido Colorado",2010,2015,47,"Diputado","Titular","Tacuarembó",0,1955-01-06,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,55,NA,55
"MUJICA","BENOIT","GONZALO","FERNANDO",963,"Frente Amplio",2010,2015,47,"Diputado","Titular","Montevideo",1,1956-06-06,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,53,NA,53
"NIFFOURI","BLANCO","AMIN",NA,2401,"Partido Nacional",2010,2015,47,"Diputado","Titular","Canelones",1,1971-12-02,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,38,NA,38
"NOVALES","MAYOL","GONZALO","LEOPOLDO",984,"Partido Nacional",2010,2015,47,"Diputado","Titular","Soriano",1,1943-05-30,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,66,NA,66
"ORRICO","MIRALDI","JORGE","OMAR",1012,"Frente Amplio",2010,2015,47,"Diputado","Titular","Montevideo",1,1946-10-25,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,63,NA,63
"OSORIO","LIMA","MARNE","YOHN",4011,"Partido Colorado",2010,2010,47,"Diputado","Titular","Rivera",1,1966-02-04,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,44,NA,44
"PASSADA","LEONCINI","IVONNE","GRAZIELLA",2329,"Frente Amplio",2015,2015,47,"Diputado","Titular",NA,1,1956-04-04,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,53,NA,53
"PASSADA","LEONCINI","IVONNE","GRAZIELLA",2329,"Frente Amplio",2010,2015,47,"Diputado","Titular",NA,1,1956-04-04,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,53,NA,53
"PAYSSE","RODRIGUEZ","DANIELA",NA,2006,"Frente Amplio",2010,2015,47,"Diputado","Titular","Montevideo",0,1946-10-17,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,63,NA,63
"PENA","HERNANDEZ","MARIA","ADRIANA",4031,"Partido Nacional",2010,2010,47,"Diputado","Titular","Lavalleja",0,1964-09-09,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,45,NA,45
"PERDOMO","GAMARRA","ALBERTO","JAVIER",4018,"Partido Nacional",2010,2015,47,"Diputado","Titular","Canelones",1,1967-04-06,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,42,NA,42
"PEREYRA","HUELMO","HECTOR","ANIBAL",4022,"Frente Amplio",2015,2015,47,"Diputado","Titular","Rocha",1,1966-11-07,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,43,NA,43
"PEREYRA","HUELMO","HECTOR","ANIBAL",4022,"Frente Amplio",2010,2015,47,"Diputado","Titular","Rocha",1,1966-11-07,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,43,NA,43
"ARREGUI","MARSANO","ROQUE","EDISON",1493,"Frente Amplio",2010,2015,47,"Diputado","Titular","Soriano",1,1950-08-16,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,59,NA,59
"ASTI","CARLI","ALFREDO","ANGEL",4135,"Frente Amplio",2010,2015,47,"Diputado","Titular","Montevideo",1,1948-10-02,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,61,NA,61
"PEREYRA","PINEYRO","SUSANA",NA,2303,"Frente Amplio",2010,2015,47,"Diputado","Titular","Montevideo",0,1956-04-24,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,53,NA,53
"PEREZ","BRITO","DARIO",NA,4309,"Frente Amplio",2010,2015,47,"Diputado","Titular","Maldonado",1,1957-01-06,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,53,NA,53
"PERRACHON","GONNET","MARIO","HUMBERTO",2307,"Frente Amplio",2010,2015,47,"Diputado","Titular","Colonia",1,1943-03-02,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,66,NA,66
"PINEYRUA","OLMOS","ANA","LIA",2534,"Partido Nacional",2010,2015,47,"Diputado","Titular",NA,0,1954-11-23,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,55,NA,55
"PLANCHON","GEYMONAT","RICARDO","MARIO",2041,"Partido Nacional",2010,2015,47,"Diputado","Titular","Colonia",1,1972-01-12,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,38,NA,38
"POSADA","PAGLIOTTI","IVAN","ADAN",1127,"Partido Independiente",2010,2015,47,"Diputado","Titular","Montevideo",1,1953-12-25,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,56,NA,56
"POZZI","CIARAN","JORGE","ALVARO",4319,"Frente Amplio",2010,2015,47,"Diputado","Titular","Montevideo",1,1957-04-07,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,52,NA,52
"PUIG","CARDOZO","LUIS","WILFREDO",2320,"Frente Amplio",2010,2015,47,"Diputado","Titular","Montevideo",1,1955-11-06,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,54,NA,54
"RADIO","PRESTA","DANIEL","ALEXIS",2398,"Partido Independiente",2010,2015,47,"Diputado","Titular","Canelones",1,1959-02-20,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,50,NA,50
"RODRIGUEZ","ALVEZ","EDGARDO",NA,4063,"Frente Amplio",2010,2015,47,"Diputado","Titular","Tacuarembó",1,1961-12-25,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,48,NA,48
"RODRIGUEZ","SERVETTO","NELSON","VLADIMIR",4071,"Partido Nacional",2010,2015,47,"Diputado","Titular","Maldonado",1,1959-07-19,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,50,NA,50
"ROSADILLA","PEREIRA","LUIS","ANGEL",1213,"Frente Amplio",2010,2011,47,"Diputado","Titular","Montevideo",1,1953-12-21,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,56,NA,56
"SABINI","GIANNECCHINI","SEBASTIAN",NA,2340,"Frente Amplio",2010,2015,47,"Diputado","Titular","Canelones",1,1981-06-11,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,28,NA,28
"SANCHEZ","CAL","DARDO","ANGEL",4084,"Partido Nacional",2010,2010,47,"Diputado","Titular","Treinta y Tres",1,1957-04-04,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,52,NA,52
"SARAVIA","FRATTI","PEDRO","JESUS",2141,"Partido Nacional",2010,2015,47,"Diputado","Titular","Cerro Largo",1,1952-06-29,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,57,NA,57
"SEMPRONI","ROBAINA","VICTOR","FELIX",2161,"Frente Amplio",2010,2015,47,"Diputado","Titular","Canelones",1,1937-03-27,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,72,NA,72
"TAJAM","CABRERA","HECTOR","VICENTE",1345,"Frente Amplio",2010,2015,47,"Diputado","Titular","Montevideo",1,1947-09-22,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,62,NA,62
"TIERNO","FERNANDEZ","NELSON","MARTIN",2326,"Frente Amplio",2010,2015,47,"Diputado","Titular",NA,1,1968-07-06,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,41,NA,41
"TOLEDO","ANTUNEZ","HERMES","ROMEO",4109,"Frente Amplio",2010,2013,47,"Diputado","Titular","Treinta y Tres",1,1949-12-07,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,60,NA,60
"TOURNE","VALDEZ","DAISY","LILIAN",2214,"Frente Amplio",2010,2015,47,"Diputado","Titular","Montevideo",1,1951-03-17,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,58,NA,58
"TROBO","CABRERA","JAIME","MARIO",4110,"Partido Nacional",2010,2015,47,"Diputado","Titular","Montevideo",1,1956-10-05,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,53,NA,53
"VARELA","NESTIER","CARLOS","RICARDO",4251,"Frente Amplio",2010,2015,47,"Diputado","Titular","Montevideo",1,1954-05-01,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,55,NA,55
"VEGA","LLANES","ALVARO",NA,4121,"Frente Amplio",2010,2013,47,"Diputado","Titular","Florida",1,1957-11-04,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,52,NA,52
"VERRI","PIRIZ","WALTER",NA,2382,"Partido Colorado",2010,2015,47,"Diputado","Titular","Paysandú",1,1962-08-01,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,47,NA,47
"VIDALIN","AGUIRRE","CARMELO","JOSE",4123,"Partido Nacional",2015,2015,47,"Diputado","Titular","Durazno",1,1955-11-17,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,54,NA,54
"VIDALIN","AGUIRRE","CARMELO","JOSE",4123,"Partido Nacional",2010,2015,47,"Diputado","Titular","Durazno",1,1955-11-17,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,54,NA,54
"BANGO","ALVAREZ","JULIO","CESAR",2311,"Frente Amplio",2010,2015,47,"Diputado","Titular","Montevideo",1,1962-09-10,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,47,NA,47
"VIVIAN","BELTRAQUIN","DIONISIO",NA,2299,"Frente Amplio",2010,2015,47,"Diputado","Titular","Canelones",1,1951-10-29,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,58,NA,58
"YANES","MEDEROS","HORACIO","PIERRE",2272,"Frente Amplio",2010,2014,47,"Diputado","Titular","Canelones",1,1960-12-09,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,49,NA,49
"BATTISTONI","SPINELLI","JULIO","JOSE",2327,"Frente Amplio",2010,2015,47,"Diputado","Titular","Montevideo",1,1945-01-02,2010-02-15,2015-02-14,"1985-2020",0,2012-08-15,65,NA,65
