"primer_apellido","segundo_apellido","primer_nombre","segundo_nombre","id_politico","partido","inicio","fin","legislatura","cargo","status","circunscripcion","sexo","fecha_nac","fecha_inicio_l","fecha_fin_l","fecha_intermedia","ed_asumir_1","ed_asumir","edad_asumir","agregado","legislaturas_agrupadas"
"LIMA","PROSERPIO","ANDRES","PABLO",3954,"Frente Amplio",2015,2015,47,"Diputado","Titular","Salto",1,"1973-10-31","2010-02-15","2015-02-14","2012-08-15",NA,36,36,0,"1985-2020"
"LIMA","PROSERPIO","ANDRES","PABLO",3954,"Frente Amplio",2010,2014,47,"Diputado","Titular","Salto",1,"1973-10-31","2010-02-15","2015-02-14","2012-08-15",NA,36,36,0,"1985-2020"
"MAGURNO","SOUTO","OSCAR",NA,853,"Partido Colorado",2010,2010,47,"Diputado","Titular","Montevideo",1,"1930-03-03","2010-02-15","2015-02-14","2012-08-15",NA,79,79,0,"1985-2020"
"MAHIA","FREIRE","JOSE","CARLOS",3967,"Frente Amplio",2010,2015,47,"Diputado","Titular","Canelones",1,"1966-08-08","2010-02-15","2015-02-14","2012-08-15",NA,43,43,0,"1985-2020"
"MALLO","CALVINO","ALMA","SONIA",4178,"Partido Colorado",2010,2014,47,"Diputado","Titular","Montevideo",0,"1940-08-09","2010-02-15","2015-02-14","2012-08-15",NA,69,69,0,"1985-2020"
"MARTINEZ","HUELMO","RUBEN","WALDEMAR",3984,"Frente Amplio",2010,2015,47,"Diputado","Titular","Montevideo",1,"1949-09-27","2010-02-15","2015-02-14","2012-08-15",NA,60,60,0,"1985-2020"
"MATIAUDE","ESPINO","GRACIELA","VENANCIA MARIA",2373,"Partido Colorado",2010,2015,47,"Diputado","Titular","Canelones",0,"1957-03-14","2010-02-15","2015-02-14","2012-08-15",NA,52,52,0,"1985-2020"
"MICHELINI","DELLE","FELIPE","RAUL",924,"Frente Amplio",2010,2015,47,"Diputado","Titular","Montevideo",1,"1961-01-24","2010-02-15","2015-02-14","2012-08-15",NA,49,49,0,"1985-2020"
"MONTANER","FORMOSO","MARTHA","SILVANA",1950,"Partido Colorado",2010,2015,47,"Diputado","Titular","Tacuarembó",0,"1955-01-06","2010-02-15","2015-02-14","2012-08-15",NA,55,55,0,"1985-2020"
"MUJICA","BENOIT","GONZALO","FERNANDO",963,"Frente Amplio",2010,2015,47,"Diputado","Titular","Montevideo",1,"1956-06-06","2010-02-15","2015-02-14","2012-08-15",NA,53,53,0,"1985-2020"
"NIFFOURI","BLANCO","AMIN",NA,2401,"Partido Nacional",2010,2015,47,"Diputado","Titular","Canelones",1,"1971-12-02","2010-02-15","2015-02-14","2012-08-15",NA,38,38,0,"1985-2020"
"NOVALES","MAYOL","GONZALO","LEOPOLDO",984,"Partido Nacional",2010,2015,47,"Diputado","Titular","Soriano",1,"1943-05-30","2010-02-15","2015-02-14","2012-08-15",NA,66,66,0,"1985-2020"
"ORRICO","MIRALDI","JORGE","OMAR",1012,"Frente Amplio",2010,2015,47,"Diputado","Titular","Montevideo",1,"1946-10-25","2010-02-15","2015-02-14","2012-08-15",NA,63,63,0,"1985-2020"
"OSORIO","LIMA","MARNE","YOHN",4011,"Partido Colorado",2010,2010,47,"Diputado","Titular","Rivera",1,"1966-02-04","2010-02-15","2015-02-14","2012-08-15",NA,44,44,0,"1985-2020"
"PASSADA","LEONCINI","IVONNE","GRAZIELLA",2329,"Frente Amplio",2015,2015,47,"Diputado","Titular",NA,1,"1956-04-04","2010-02-15","2015-02-14","2012-08-15",NA,53,53,0,"1985-2020"
"PASSADA","LEONCINI","IVONNE","GRAZIELLA",2329,"Frente Amplio",2010,2015,47,"Diputado","Titular",NA,1,"1956-04-04","2010-02-15","2015-02-14","2012-08-15",NA,53,53,0,"1985-2020"
"PAYSSE","RODRIGUEZ","DANIELA",NA,2006,"Frente Amplio",2010,2015,47,"Diputado","Titular","Montevideo",0,"1946-10-17","2010-02-15","2015-02-14","2012-08-15",NA,63,63,0,"1985-2020"
"PENA","HERNANDEZ","MARIA","ADRIANA",4031,"Partido Nacional",2010,2010,47,"Diputado","Titular","Lavalleja",0,"1964-09-09","2010-02-15","2015-02-14","2012-08-15",NA,45,45,0,"1985-2020"
"PERDOMO","GAMARRA","ALBERTO","JAVIER",4018,"Partido Nacional",2010,2015,47,"Diputado","Titular","Canelones",1,"1967-04-06","2010-02-15","2015-02-14","2012-08-15",NA,42,42,0,"1985-2020"
"PEREYRA","HUELMO","HECTOR","ANIBAL",4022,"Frente Amplio",2015,2015,47,"Diputado","Titular","Rocha",1,"1966-11-07","2010-02-15","2015-02-14","2012-08-15",NA,43,43,0,"1985-2020"
"PEREYRA","HUELMO","HECTOR","ANIBAL",4022,"Frente Amplio",2010,2015,47,"Diputado","Titular","Rocha",1,"1966-11-07","2010-02-15","2015-02-14","2012-08-15",NA,43,43,0,"1985-2020"
"ARREGUI","MARSANO","ROQUE","EDISON",1493,"Frente Amplio",2010,2015,47,"Diputado","Titular","Soriano",1,"1950-08-16","2010-02-15","2015-02-14","2012-08-15",NA,59,59,0,"1985-2020"
"ASTI","CARLI","ALFREDO","ANGEL",4135,"Frente Amplio",2010,2015,47,"Diputado","Titular","Montevideo",1,"1948-10-02","2010-02-15","2015-02-14","2012-08-15",NA,61,61,0,"1985-2020"
"PEREYRA","PINEYRO","SUSANA",NA,2303,"Frente Amplio",2010,2015,47,"Diputado","Titular","Montevideo",0,"1956-04-24","2010-02-15","2015-02-14","2012-08-15",NA,53,53,0,"1985-2020"
"PEREZ","BRITO","DARIO",NA,4309,"Frente Amplio",2010,2015,47,"Diputado","Titular","Maldonado",1,"1957-01-06","2010-02-15","2015-02-14","2012-08-15",NA,53,53,0,"1985-2020"
"PERRACHON","GONNET","MARIO","HUMBERTO",2307,"Frente Amplio",2010,2015,47,"Diputado","Titular","Colonia",1,"1943-03-02","2010-02-15","2015-02-14","2012-08-15",NA,66,66,0,"1985-2020"
"PINEYRUA","OLMOS","ANA","LIA",2534,"Partido Nacional",2010,2015,47,"Diputado","Titular",NA,0,"1954-11-23","2010-02-15","2015-02-14","2012-08-15",NA,55,55,0,"1985-2020"
"PLANCHON","GEYMONAT","RICARDO","MARIO",2041,"Partido Nacional",2010,2015,47,"Diputado","Titular","Colonia",1,"1972-01-12","2010-02-15","2015-02-14","2012-08-15",NA,38,38,0,"1985-2020"
"POSADA","PAGLIOTTI","IVAN","ADAN",1127,"Partido Independiente",2010,2015,47,"Diputado","Titular","Montevideo",1,"1953-12-25","2010-02-15","2015-02-14","2012-08-15",NA,56,56,0,"1985-2020"
"POZZI","CIARAN","JORGE","ALVARO",4319,"Frente Amplio",2010,2015,47,"Diputado","Titular","Montevideo",1,"1957-04-07","2010-02-15","2015-02-14","2012-08-15",NA,52,52,0,"1985-2020"
