"primer_apellido","segundo_apellido","primer_nombre","segundo_nombre","id_politico","partido","inicio","fin","legislatura","cargo","status","circunscripcion","sexo","fecha_nac","fecha_inicio_l","fecha_fin_l","fecha_intermedia","ed_asumir_1","ed_asumir","edad_asumir","agregado","legislaturas_agrupadas"
"ALZUGARAY",NA,"ELDA",NA,4575,"Frente Amplio",2010,2010,47,"Diputado","Suplente",NA,0,NA,"2010-02-15","2015-02-14","2012-08-15",NA,NA,NA,1,"1985-2020"
"AMARO","MACHADO","RUBEN","JOSE",4711,"Partido Nacional",2010,2015,47,"Diputado","Suplente",NA,1,"1957-11-23","2010-02-15","2015-02-14","2012-08-15",54,NA,54,1,"1985-2020"
"AMOZA","BOZZOLO","MARGARITA","MARIA",4657,"Partido Nacional",2012,2012,47,"Diputado","Suplente",NA,0,"1945-05-05","2010-02-15","2015-02-14","2012-08-15",67,NA,67,1,"1985-2020"
"IRRAZABAL","TEXEIRA","MIGUEL","ANGEL",4672,"Partido Nacional",2010,2015,47,"Diputado","Suplente",NA,1,"1960-05-26","2010-02-15","2015-02-14","2012-08-15",52,NA,52,1,"1985-2020"
"ISABELLA","REVETRIA","FERNANDO","RAFAEL",4587,"Frente Amplio",2012,2014,47,"Diputado","Suplente",NA,1,"1977-08-09","2010-02-15","2015-02-14","2012-08-15",35,NA,35,1,"1985-2020"
"ISI","QUEPFERT","DANIEL",NA,4557,"Partido Colorado",2012,2012,47,"Diputado","Suplente",NA,1,"1965-03-26","2010-02-15","2015-02-14","2012-08-15",47,NA,47,1,"1985-2020"
"ISLAS","GLOODTDOFSKY","LARA","PAOLA",4640,"Partido Colorado",2012,2012,47,"Diputado","Suplente",NA,0,"1978-01-11","2010-02-15","2015-02-14","2012-08-15",34,NA,34,1,"1985-2020"
"LAPASTA","VENTURA","GERMAN",NA,4594,"Partido Nacional",2010,2013,47,"Diputado","Suplente",NA,1,"1982-05-25","2010-02-15","2015-02-14","2012-08-15",30,NA,30,1,"1985-2020"
"LAVENTURE","OTEGUI","EDUARDO","MARTIN",4571,"Partido Nacional",2015,2015,47,"Senador","Suplente",NA,1,"1958-06-17","2010-02-15","2015-02-14","2012-08-15",54,NA,54,1,"1985-2020"
"LAVENTURE","OTEGUI","EDUARDO","MARTIN",4571,"Partido Nacional",2010,2014,47,"Diputado","Suplente",NA,1,"1958-06-17","2010-02-15","2015-02-14","2012-08-15",54,NA,54,1,"1985-2020"
"LERETE","SALCEDO","ORLANDO","DARIO",4687,"Partido Nacional",2011,2014,47,"Diputado","Suplente",NA,1,"1945-03-24","2010-02-15","2015-02-14","2012-08-15",67,NA,67,1,"1985-2020"
"LOPEZ","GOLDARACENA","OSCAR","ADOLFO",4688,"Frente Amplio",2010,2014,47,"Senador","Suplente",NA,1,"1959-08-26","2010-02-15","2015-02-14","2012-08-15",52,NA,52,1,"1985-2020"
"LOPEZ","MENDEZ","ARTURO","EDUARDO",4542,"Partido Nacional",2011,2014,47,"Diputado","Suplente",NA,1,"1983-10-12","2010-02-15","2015-02-14","2012-08-15",28,NA,28,1,"1985-2020"
"LOPEZ","VILLALBA","DANIEL","GUSTAVO",4558,"Partido Nacional",2010,2014,47,"Diputado","Suplente",NA,1,"1947-12-30","2010-02-15","2015-02-14","2012-08-15",64,NA,64,1,"1985-2020"
"MACIEL","MOREIRA","NOEL","BAUTISTA",4682,"Frente Amplio",2013,2013,47,"Diputado","Suplente",NA,1,"1946-12-30","2010-02-15","2015-02-14","2012-08-15",65,NA,65,1,"1985-2020"
"MAGALLANES",NA,"GUSTAVO","YAMANDU",4598,"Partido Colorado",2010,2011,47,"Diputado","Suplente",NA,1,"1958-11-26","2010-02-15","2015-02-14","2012-08-15",53,NA,53,1,"1985-2020"
"MARIZCURRENA","ECHEVERRIA","MARTHA","MARIA",4665,"Partido Nacional",2010,2012,47,"Diputado","Suplente",NA,0,"1963-12-08","2010-02-15","2015-02-14","2012-08-15",48,NA,48,1,"1985-2020"
"MARQUEZ","OLIVERA","PEDRO","EDUARDO",4695,"Frente Amplio",2010,2015,47,"Diputado","Suplente",NA,1,"1961-10-18","2010-02-15","2015-02-14","2012-08-15",50,NA,50,1,"1985-2020"
"MARTELLETTI","GONZALEZ","EDUARDO",NA,4572,"Partido Independiente",2012,2014,47,"Diputado","Suplente",NA,1,"1969-02-06","2010-02-15","2015-02-14","2012-08-15",43,NA,43,1,"1985-2020"
"MARTINEZ","MARTINEZ","LOURDES","DIANNE",4645,"Partido Colorado",2012,2013,47,"Diputado","Suplente",NA,1,"1961-08-15","2010-02-15","2015-02-14","2012-08-15",51,NA,51,1,"1985-2020"
"MAUTE","SARAVIA","MARCELO","ANDRES",4654,"Partido Nacional",2010,2012,47,"Diputado","Suplente",NA,1,"1974-09-04","2010-02-15","2015-02-14","2012-08-15",37,NA,37,1,"1985-2020"
"MEZZERA","BRITO","EDUARDO",NA,4573,"Partido Nacional",2013,2015,47,"Senador","Suplente",NA,1,"1946-07-21","2010-02-15","2015-02-14","2012-08-15",66,NA,66,1,"1985-2020"
"MIGUES","PERALTA","ARAMIS","NEREO",4541,"Partido Colorado",2011,2011,47,"Diputado","Suplente",NA,1,"1943-05-01","2010-02-15","2015-02-14","2012-08-15",69,NA,69,1,"1985-2020"
"MILLAN","GARCIA","CARMEN","YANNET",4551,"Frente Amplio",2010,2012,47,"Diputado","Suplente",NA,1,"1954-03-24","2010-02-15","2015-02-14","2012-08-15",58,NA,58,1,"1985-2020"
"MINARRIETA","VERA","NERY","ALFREDO",4678,"Partido Nacional",2011,2011,47,"Diputado","Suplente",NA,1,"1937-07-14","2010-02-15","2015-02-14","2012-08-15",75,NA,75,1,"1985-2020"
"MONTIEL","MENDEZ","CLEVER","DANIEL",4554,"Frente Amplio",2010,2014,47,"Diputado","Suplente",NA,1,"1958-08-05","2010-02-15","2015-02-14","2012-08-15",54,NA,54,1,"1985-2020"
"MONTIEL","MENDEZ","CLEVER","DANIEL",4554,"Frente Amplio",2010,2014,47,"Senador","Suplente",NA,1,"1958-08-05","2010-02-15","2015-02-14","2012-08-15",54,NA,54,1,"1985-2020"
"MOREIRA","FONTES","MARIA","ELOISA",4659,"Frente Amplio",2010,2015,47,"Diputado","Suplente",NA,0,"1958-06-07","2010-02-15","2015-02-14","2012-08-15",54,NA,54,1,"1985-2020"
"MORELLI","COLOMBRES","DANIEL","EDUARDO",4560,"Partido Nacional",2010,2012,47,"Diputado","Suplente",NA,1,"1944-07-24","2010-02-15","2015-02-14","2012-08-15",68,NA,68,1,"1985-2020"
"MORELLI","COLOMBRES","LEON","JOSE",4643,"Partido Nacional",2011,2014,47,"Senador","Suplente",NA,1,"1941-11-06","2010-02-15","2015-02-14","2012-08-15",70,NA,70,1,"1985-2020"
"MORODO","DIAZ","WALTER","DOMINGO",4726,"Frente Amplio",2010,2014,47,"Senador","Suplente",NA,1,"1954-01-13","2010-02-15","2015-02-14","2012-08-15",58,NA,58,1,"1985-2020"
"MOROSINI","RESENDE","DOGOMAR",NA,4567,"Partido Nacional",2010,2013,47,"Diputado","Suplente",NA,1,"1954-02-18","2010-02-15","2015-02-14","2012-08-15",58,NA,58,1,"1985-2020"
"MUSETTI","FORMOSO","JULIO","MARIO",4637,"Partido Colorado",2010,2012,47,"Diputado","Suplente",NA,1,"1967-07-12","2010-02-15","2015-02-14","2012-08-15",45,NA,45,1,"1985-2020"
"MUTTONI","VIGNOLI","RICARDO","DANIEL",4702,"Frente Amplio",2010,2010,47,"Diputado","Suplente",NA,1,"1951-04-10","2010-02-15","2015-02-14","2012-08-15",61,NA,61,1,"1985-2020"
"NUNEZ","BELLES","RUBEN","NELSON",4712,"Partido Colorado",2010,2014,47,"Diputado","Suplente",NA,1,"1954-09-30","2010-02-15","2015-02-14","2012-08-15",57,NA,57,1,"1985-2020"
"NUNEZ","PEREZ","NICOLAS","ANDRES",4679,"Frente Amplio",2010,2015,47,"Diputado","Suplente",NA,1,"1983-12-30","2010-02-15","2015-02-14","2012-08-15",28,NA,28,1,"1985-2020"
"NUNEZ","SAPPA","JOSE","LUIS",4619,"Partido Nacional",2010,2015,47,"Diputado","Suplente",NA,1,"1962-01-14","2010-02-15","2015-02-14","2012-08-15",50,NA,50,1,"1985-2020"
"OCAMPO","LIMA","ANDREA","KARINA",4535,"Partido Independiente",2012,2013,47,"Diputado","Suplente",NA,0,"1981-04-20","2010-02-15","2015-02-14","2012-08-15",31,NA,31,1,"1985-2020"
"OJEDA","DIAZ","MILO","HIGINIO",4673,"Partido Colorado",2010,2014,47,"Diputado","Suplente",NA,1,"1942-10-14","2010-02-15","2015-02-14","2012-08-15",69,NA,69,1,"1985-2020"
"OLIVAR","MENDEZ","JULIO","MARIO",4638,"Partido Colorado",2010,2014,47,"Diputado","Suplente",NA,1,"1963-12-11","2010-02-15","2015-02-14","2012-08-15",48,NA,48,1,"1985-2020"
"ONTANEDA","PARODI","LOURDES","AZUCENA",4646,"Frente Amplio",2010,2014,47,"Diputado","Suplente",NA,1,"1948-02-11","2010-02-15","2015-02-14","2012-08-15",64,NA,64,1,"1985-2020"
"ORTEGA","SUAREZ","RUPERTO","MARIA",4714,"Partido Nacional",2010,2015,47,"Diputado","Suplente",NA,1,"1939-07-22","2010-02-15","2015-02-14","2012-08-15",73,NA,73,1,"1985-2020"
"ORTIZ","DE","NICOLAS",NA,4680,"Partido Colorado",2010,2015,47,"Diputado","Suplente",NA,1,"1979-09-28","2010-02-15","2015-02-14","2012-08-15",32,NA,32,1,"1985-2020"
"OSTRIA","CHIAZZARO","JOSE","LUIS",4620,"Partido Nacional",2010,2013,47,"Diputado","Suplente",NA,1,"1959-07-23","2010-02-15","2015-02-14","2012-08-15",53,NA,53,1,"1985-2020"
"PACHECO","MARTIRENA","MARY","ELISABETH",4668,"Partido Nacional",2015,2015,47,"Diputado","Suplente",NA,1,"1965-07-12","2010-02-15","2015-02-14","2012-08-15",47,NA,47,1,"1985-2020"
"PACHECO","MARTIRENA","MARY","ELISABETH",4668,"Partido Nacional",2010,2010,47,"Diputado","Suplente",NA,1,"1965-07-12","2010-02-15","2015-02-14","2012-08-15",47,NA,47,1,"1985-2020"
"PANIZZA",NA,"CESAR","EDGARD",4552,"Partido Nacional",2010,2014,47,"Diputado","Suplente",NA,1,"1949-01-09","2010-02-15","2015-02-14","2012-08-15",63,NA,63,1,"1985-2020"
"PENA","FERNANDEZ","DANIEL","ADRIAN",4561,"Partido Nacional",2015,2015,47,"Senador","Suplente",NA,1,"1972-12-21","2010-02-15","2015-02-14","2012-08-15",39,NA,39,1,"1985-2020"
"PENA","FERNANDEZ","DANIEL","ADRIAN",4561,"Partido Nacional",2010,2015,47,"Senador","Suplente",NA,1,"1972-12-21","2010-02-15","2015-02-14","2012-08-15",39,NA,39,1,"1985-2020"
"PERDOMO","BARRETO","MILTON","HENRY",4674,"Frente Amplio",2013,2014,47,"Diputado","Suplente",NA,1,"1966-04-08","2010-02-15","2015-02-14","2012-08-15",46,NA,46,1,"1985-2020"
"PEREIRA","CARRACEDO","NICOLAS","JAVIER",4681,"Frente Amplio",2010,2014,47,"Diputado","Suplente",NA,1,"1982-07-19","2010-02-15","2015-02-14","2012-08-15",30,NA,30,1,"1985-2020"
"PEREYRA","BORGES","JOSE","MARIA",4621,"Frente Amplio",2010,2014,47,"Senador","Suplente",NA,1,"1945-12-16","2010-02-15","2015-02-14","2012-08-15",66,NA,66,1,"1985-2020"
"PEREYRA","LARROSA","MARIA","DEL CARMEN",4660,"Partido Nacional",2010,2014,47,"Diputado","Suplente",NA,0,"1957-04-02","2010-02-15","2015-02-14","2012-08-15",55,NA,55,1,"1985-2020"
"AQUINO","DOMINGUEZ","JOSE","DANIEL",4615,"Frente Amplio",2010,2014,47,"Diputado","Suplente",NA,1,"1959-03-18","2010-02-15","2015-02-14","2012-08-15",53,NA,53,1,"1985-2020"
"ARAUJO","ABIMORAD","ROBERTO",NA,4704,"Partido Nacional",2010,2014,47,"Diputado","Suplente",NA,1,"1963-09-10","2010-02-15","2015-02-14","2012-08-15",48,NA,48,1,"1985-2020"
"PEREZ","AGUIRRE","LAURA","CRISTINA",4641,"Frente Amplio",2010,2011,47,"Diputado","Suplente",NA,0,"1976-08-01","2010-02-15","2015-02-14","2012-08-15",36,NA,36,1,"1985-2020"
"PEREZ","CORTELEZZI","NELSON","EDUARDO",4676,"Partido Nacional",2010,2014,47,"Diputado","Suplente",NA,1,"1940-07-01","2010-02-15","2015-02-14","2012-08-15",72,NA,72,1,"1985-2020"
"PEREZ","GARCIA","ANTONIO","LEANDRO",4539,"Frente Amplio",2010,2014,47,"Diputado","Suplente",NA,1,"1937-11-06","2010-02-15","2015-02-14","2012-08-15",74,NA,74,1,"1985-2020"
"PEREZ","GONZALEZ","PABLO","NEKLINDOR",4693,"Frente Amplio",2015,2015,47,"Diputado","Suplente",NA,1,"1948-02-09","2010-02-15","2015-02-14","2012-08-15",64,NA,64,1,"1985-2020"
"PEREZ","MACHADO","MARCOS","LISANDRO",4655,"Partido Nacional",2010,2010,47,"Diputado","Suplente",NA,1,"1980-08-09","2010-02-15","2015-02-14","2012-08-15",32,NA,32,1,"1985-2020"
"PEREZ","SILVA","MARIO","OMAR",4664,"Partido Nacional",2010,2010,47,"Diputado","Suplente",NA,1,"1952-09-19","2010-02-15","2015-02-14","2012-08-15",59,NA,59,1,"1985-2020"
"PINEIRO","RODRIGUEZ","DELFINO",NA,4565,"Frente Amplio",2013,2015,47,"Diputado","Suplente",NA,1,"1957-03-30","2010-02-15","2015-02-14","2012-08-15",55,NA,55,1,"1985-2020"
"PINEIRO","RODRIGUEZ","DELFINO",NA,4565,"Frente Amplio",2011,2011,47,"Diputado","Suplente",NA,1,"1957-03-30","2010-02-15","2015-02-14","2012-08-15",55,NA,55,1,"1985-2020"
"PINTOS","ROHNER","ALICIA","JOSEFA",4524,"Frente Amplio",2010,2015,47,"Senador","Suplente",NA,0,"1941-05-24","2010-02-15","2015-02-14","2012-08-15",71,NA,71,1,"1985-2020"
"PORRINI","GARCIA","ALICIA","GISELLE",4525,"Frente Amplio",2011,2014,47,"Diputado","Suplente",NA,0,"1957-10-18","2010-02-15","2015-02-14","2012-08-15",54,NA,54,1,"1985-2020"
"PRIETO","MENDIOLA","AMERICO","ENRIQUE",4532,"Partido Nacional",2010,2014,47,"Diputado","Suplente",NA,1,"1948-05-09","2010-02-15","2015-02-14","2012-08-15",64,NA,64,1,"1985-2020"
"PUMAR","DE","VERONICA","LILIA",4723,"Partido Nacional",2011,2014,47,"Diputado","Suplente",NA,0,"1970-12-20","2010-02-15","2015-02-14","2012-08-15",41,NA,41,1,"1985-2020"
"QUINTANA",NA,"ROSA","BEATRIZ",4710,"Frente Amplio",2013,2014,47,"Diputado","Suplente",NA,0,"1965-05-02","2010-02-15","2015-02-14","2012-08-15",47,NA,47,1,"1985-2020"
"QUINTANA",NA,"ROSA","BEATRIZ",4710,"Frente Amplio",2010,2010,47,"Diputado","Suplente",NA,0,"1965-05-02","2010-02-15","2015-02-14","2012-08-15",47,NA,47,1,"1985-2020"
"QUINTANS","AMILIVIA","ALVARO",NA,4528,"Frente Amplio",2012,2012,47,"Diputado","Suplente",NA,1,"1967-09-26","2010-02-15","2015-02-14","2012-08-15",44,NA,44,1,"1985-2020"
"RAMOS","ESPINDOLA","ROQUE","FABIAN",4709,"Frente Amplio",2010,2015,47,"Diputado","Suplente",NA,1,"1958-05-21","2010-02-15","2015-02-14","2012-08-15",54,NA,54,1,"1985-2020"
"RENOM","PEREZ","RAUL","EDGAR",4701,"Partido Independiente",2011,2011,47,"Diputado","Suplente",NA,1,"1942-04-20","2010-02-15","2015-02-14","2012-08-15",70,NA,70,1,"1985-2020"
"REPETTO","VIGNOLA","ALEJANDRO","DANIEL",4523,"Partido Nacional",2010,2010,47,"Diputado","Suplente",NA,1,"1966-07-23","2010-02-15","2015-02-14","2012-08-15",46,NA,46,1,"1985-2020"
"RIANI","BARANZANO","JORGE","ENRIQUE",4613,"Partido Colorado",2014,2014,47,"Senador","Suplente",NA,1,"1959-10-17","2010-02-15","2015-02-14","2012-08-15",52,NA,52,1,"1985-2020"
"RIANI","BARANZANO","JORGE","ENRIQUE",4613,"Partido Colorado",2010,2011,47,"Senador","Suplente",NA,1,"1959-10-17","2010-02-15","2015-02-14","2012-08-15",52,NA,52,1,"1985-2020"
"RICAGNI","ZABALVEYTIA","FEDERICO",NA,4584,"Partido Nacional",2010,2012,47,"Diputado","Suplente",NA,1,"1982-02-15","2010-02-15","2015-02-14","2012-08-15",30,NA,30,1,"1985-2020"
"ROCHA","DOS","LUIS","ANGEL",4651,"Frente Amplio",2010,2010,47,"Diputado","Suplente",NA,1,"1944-10-12","2010-02-15","2015-02-14","2012-08-15",67,NA,67,1,"1985-2020"
"RODRIGUEZ","CORRALEJO","NORA","BEATRIZ",4683,"Frente Amplio",2014,2014,47,"Diputado","Suplente",NA,0,"1974-12-16","2010-02-15","2015-02-14","2012-08-15",37,NA,37,1,"1985-2020"
"RODRIGUEZ","GALVEZ","CARLOS",NA,4549,"Frente Amplio",2013,2015,47,"Diputado","Suplente",NA,1,"1971-11-29","2010-02-15","2015-02-14","2012-08-15",40,NA,40,1,"1985-2020"
"RODRIGUEZ","GALVEZ","CARLOS",NA,4549,"Frente Amplio",2010,2013,47,"Diputado","Suplente",NA,1,"1971-11-29","2010-02-15","2015-02-14","2012-08-15",40,NA,40,1,"1985-2020"
"RODRIGUEZ","LABRUNA","JORGE","ALVARO",4614,"Partido Nacional",2010,2013,47,"Diputado","Suplente",NA,1,"1942-02-21","2010-02-15","2015-02-14","2012-08-15",70,NA,70,1,"1985-2020"
"RODRIGUEZ","LOPEZ","RUBEN",NA,4713,"Partido Colorado",2010,2014,47,"Senador","Suplente",NA,1,"1942-08-01","2010-02-15","2015-02-14","2012-08-15",70,NA,70,1,"1985-2020"
"RODRIGUEZ","RODRIGUEZ","HYARA","YANET",4602,"Frente Amplio",2011,2012,47,"Senador","Suplente",NA,0,"1955-08-11","2010-02-15","2015-02-14","2012-08-15",57,NA,57,1,"1985-2020"
"RODRIGUEZ","UMPIERREZ","ALARICO","CESAR",4518,"Partido Nacional",2011,2011,47,"Diputado","Suplente",NA,1,"1938-08-28","2010-02-15","2015-02-14","2012-08-15",73,NA,73,1,"1985-2020"
"RODRIGUEZ","UMPIERREZ","AMBROSIO","INDALECIO",4530,"Partido Nacional",2010,2013,47,"Senador","Suplente",NA,1,"1935-05-21","2010-02-15","2015-02-14","2012-08-15",77,NA,77,1,"1985-2020"
"ROSTAN","MARR","ELBIO","EDGARDO",4574,"Partido Colorado",2010,2014,47,"Diputado","Suplente",NA,1,"1965-02-24","2010-02-15","2015-02-14","2012-08-15",47,NA,47,1,"1985-2020"
"RUBINO","LOPATER","VALERIA",NA,4722,"Frente Amplio",2012,2013,47,"Diputado","Suplente",NA,0,"1976-09-29","2010-02-15","2015-02-14","2012-08-15",35,NA,35,1,"1985-2020"
"SANCHEZ","PEREZ","FRANCISCO","PAULINO",4590,"Frente Amplio",2010,2014,47,"Diputado","Suplente",NA,1,"1940-06-22","2010-02-15","2015-02-14","2012-08-15",72,NA,72,1,"1985-2020"
"SANGUINETTI","GALLINAL","FRANCISCO","JOSE",4591,"Partido Nacional",2010,2014,47,"Diputado","Suplente",NA,1,"1961-12-03","2010-02-15","2015-02-14","2012-08-15",50,NA,50,1,"1985-2020"
"SANTALLA",NA,"MARIA","DE LAS MERCEDES",4661,"Frente Amplio",2010,2015,47,"Diputado","Suplente",NA,0,"1959-02-16","2010-02-15","2015-02-14","2012-08-15",53,NA,53,1,"1985-2020"
"SANTANA","DIFILIPPO","GABRIEL",NA,4593,"Partido Nacional",2012,2012,47,"Diputado","Suplente",NA,1,"1963-12-10","2010-02-15","2015-02-14","2012-08-15",48,NA,48,1,"1985-2020"
"SARAZOLA","RODRIGUEZ","CESAR","MARCOS",4553,"Frente Amplio",2010,2010,47,"Diputado","Suplente",NA,1,"1976-05-15","2010-02-15","2015-02-14","2012-08-15",36,NA,36,1,"1985-2020"
"SAUVAL","MOOR","PHILIPPE","JACQUES",4697,"Partido Independiente",2010,2014,47,"Diputado","Suplente",NA,1,"1950-08-24","2010-02-15","2015-02-14","2012-08-15",61,NA,61,1,"1985-2020"
"SENCION","CORBO","ENRIQUE","HUGO",4577,"Partido Nacional",2015,2015,47,"Diputado","Suplente",NA,1,"1951-03-26","2010-02-15","2015-02-14","2012-08-15",61,NA,61,1,"1985-2020"
"SENCION","CORBO","ENRIQUE","HUGO",4577,"Partido Nacional",2012,2013,47,"Diputado","Suplente",NA,1,"1951-03-26","2010-02-15","2015-02-14","2012-08-15",61,NA,61,1,"1985-2020"
"SILVA","CURBELO","NELSON","ADRIAN",4677,"Partido Nacional",2010,2012,47,"Diputado","Suplente",NA,1,"1979-06-11","2010-02-15","2015-02-14","2012-08-15",33,NA,33,1,"1985-2020"
"SILVA","MENENDEZ","OLGA","MARIA",4686,"Frente Amplio",2010,2014,47,"Diputado","Suplente",NA,0,"1944-09-17","2010-02-15","2015-02-14","2012-08-15",67,NA,67,1,"1985-2020"
"SILVEIRA","CORREA","JULIO","CESAR",4639,"Partido Nacional",2015,2015,47,"Senador","Suplente",NA,1,"1953-06-27","2010-02-15","2015-02-14","2012-08-15",59,NA,59,1,"1985-2020"
"SILVEIRA","CORREA","JULIO","CESAR",4639,"Partido Nacional",2010,2014,47,"Senador","Suplente",NA,1,"1953-06-27","2010-02-15","2015-02-14","2012-08-15",59,NA,59,1,"1985-2020"
"SOSA",NA,"ROBERT","ELEUTERIO",4708,"Frente Amplio",2010,2015,47,"Diputado","Suplente",NA,1,"1964-12-27","2010-02-15","2015-02-14","2012-08-15",47,NA,47,1,"1985-2020"
"SOUTO","TOSCANI","WALTER","ULISES",4727,"Frente Amplio",2010,2015,47,"Diputado","Suplente",NA,1,"1957-02-09","2010-02-15","2015-02-14","2012-08-15",55,NA,55,1,"1985-2020"
"SOUZA","DE","JUAN","CARLOS",4630,"Frente Amplio",2010,2011,47,"Senador","Suplente",NA,1,"1955-01-28","2010-02-15","2015-02-14","2012-08-15",57,NA,57,1,"1985-2020"
"TADDEO","HERNANDEZ","JOSE","CARLOS",4622,"Frente Amplio",2010,2011,47,"Diputado","Suplente",NA,1,"1961-12-09","2010-02-15","2015-02-14","2012-08-15",50,NA,50,1,"1985-2020"
"TORRES","DOS","ALICIA","STELLA",4526,"Frente Amplio",2010,2011,47,"Diputado","Suplente",NA,0,"1959-11-23","2010-02-15","2015-02-14","2012-08-15",52,NA,52,1,"1985-2020"
"TUTZO","LOPEZ","CARLOS","ALBERTO",4550,"Frente Amplio",2010,2013,47,"Diputado","Suplente",NA,1,"1951-12-27","2010-02-15","2015-02-14","2012-08-15",60,NA,60,1,"1985-2020"
"UMANSKY","TERSECESCHI","ISAAC",NA,4605,"Partido Colorado",2010,2015,47,"Senador","Suplente",NA,1,"1941-12-19","2010-02-15","2015-02-14","2012-08-15",70,NA,70,1,"1985-2020"
"UMPIERRE","ECHEVERRIA","WASHINGTON",NA,4728,"Frente Amplio",2013,2014,47,"Diputado","Suplente",NA,1,"1959-04-25","2010-02-15","2015-02-14","2012-08-15",53,NA,53,1,"1985-2020"
"URIARTE","ARAUJO","DAOIZ","GERARDO",4563,"Frente Amplio",2013,2015,47,"Diputado","Suplente",NA,1,"1956-09-24","2010-02-15","2015-02-14","2012-08-15",55,NA,55,1,"1985-2020"
"VADELL","MEZZETTA","ANTONIO",NA,4540,"Frente Amplio",2010,2010,47,"Diputado","Suplente",NA,1,"1954-12-07","2010-02-15","2015-02-14","2012-08-15",57,NA,57,1,"1985-2020"
"VAILLANT","LARRAYA","GUILLERMO","HERMAN",4596,"Frente Amplio",2010,2014,47,"Diputado","Suplente",NA,1,"1946-07-19","2010-02-15","2015-02-14","2012-08-15",66,NA,66,1,"1985-2020"
"VEGA","DEBRA","MARY","ISABEL",4669,"Partido Nacional",2010,2014,47,"Diputado","Suplente",NA,1,"1959-07-21","2010-02-15","2015-02-14","2012-08-15",53,NA,53,1,"1985-2020"
"VEGA","OLID","SANDRA","CECILIA",4716,"Partido Colorado",2011,2011,47,"Diputado","Suplente",NA,0,"1960-09-27","2010-02-15","2015-02-14","2012-08-15",51,NA,51,1,"1985-2020"
"VELA","GADEA","PABLO","DAMIAN",4694,"Partido Colorado",2012,2015,47,"Diputado","Suplente",NA,1,"1980-03-26","2010-02-15","2015-02-14","2012-08-15",32,NA,32,1,"1985-2020"
"ATILIO","TAPIA","JUAN","ANTONIO",4623,"Partido Nacional",2013,2014,47,"Diputado","Suplente",NA,1,"1955-05-30","2010-02-15","2015-02-14","2012-08-15",57,NA,57,1,"1985-2020"
"AUSTT","PEDRON","JOSE","ANTONIO",4616,"Partido Nacional",2010,2012,47,"Diputado","Suplente",NA,1,"1943-06-13","2010-02-15","2015-02-14","2012-08-15",69,NA,69,1,"1985-2020"
"BACCINO","MERELLO","NELLY","LAURA",4675,"Partido Colorado",2011,2014,47,"Diputado","Suplente",NA,1,"1955-02-02","2010-02-15","2015-02-14","2012-08-15",57,NA,57,1,"1985-2020"
"BALMELLI","CAMOIRANO","JULIO","LINO",4633,"Frente Amplio",2011,2013,47,"Diputado","Suplente",NA,1,"1950-09-15","2010-02-15","2015-02-14","2012-08-15",61,NA,61,1,"1985-2020"
"BARES","MARIN","MARTIN","ELIAS",4666,"Frente Amplio",2011,2011,47,"Diputado","Suplente",NA,1,"1976-03-19","2010-02-15","2015-02-14","2012-08-15",36,NA,36,1,"1985-2020"
"BARREIRO","SABBIA","AMBROSIO","WALTER",4529,"Partido Nacional",2010,2012,47,"Senador","Suplente",NA,1,"1935-04-11","2010-02-15","2015-02-14","2012-08-15",77,NA,77,1,"1985-2020"
"VILLARINO","FERNANDEZ","DANTE",NA,4562,"Partido Colorado",2013,2013,47,"Diputado","Suplente",NA,1,"1938-05-30","2010-02-15","2015-02-14","2012-08-15",74,NA,74,1,"1985-2020"
"ZIMINOV","ROBKIN","LUIS","ALBERTO",4652,"Partido Colorado",2010,2015,47,"Diputado","Suplente",NA,1,"1950-03-28","2010-02-15","2015-02-14","2012-08-15",62,NA,62,1,"1985-2020"
"ZUNINO","TORTEROLA","FRANCISCO","ADHEMAR",4592,"Partido Colorado",2010,2013,47,"Diputado","Suplente",NA,1,"1960-04-02","2010-02-15","2015-02-14","2012-08-15",52,NA,52,1,"1985-2020"
"BARRIOS","BOVE","JAVIER","ENRIQUE",4606,"Partido Nacional",2010,2011,47,"Diputado","Suplente",NA,1,"1976-11-23","2010-02-15","2015-02-14","2012-08-15",35,NA,35,1,"1985-2020"
"BARTESAGHI","SILVEIRA","JORGE",NA,4609,"Partido Nacional",2010,2014,47,"Senador","Suplente",NA,1,"1939-06-16","2010-02-15","2015-02-14","2012-08-15",73,NA,73,1,"1985-2020"
"BENTANCOR","HERNANDEZ","JUAN","JOSE",4624,"Frente Amplio",2010,2013,47,"Diputado","Suplente",NA,1,"1943-12-14","2010-02-15","2015-02-14","2012-08-15",68,NA,68,1,"1985-2020"
"BENTANCOR","HERNANDEZ","JUAN","JOSE",4624,"Frente Amplio",2010,2012,47,"Senador","Suplente",NA,1,"1943-12-14","2010-02-15","2015-02-14","2012-08-15",68,NA,68,1,"1985-2020"
"BENTANCOR","PAIS","WILSON","JESUS",4729,"Partido Nacional",2010,2010,47,"Diputado","Suplente",NA,1,"1950-07-05","2010-02-15","2015-02-14","2012-08-15",62,NA,62,1,"1985-2020"
"BESOZZI","VIERA","FLORENCIA","MARIA",4588,"Partido Nacional",2010,2010,47,"Diputado","Suplente",NA,0,"1984-12-26","2010-02-15","2015-02-14","2012-08-15",27,NA,27,1,"1985-2020"
